player_name,side,rounds_played,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_rate_std,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2
910,t,147,74.08163265306122,31.055238248500945,0.7210884353741497,0.3469387755102041,108.93877551020408,99.4625850340136,9.476190476190476,1.9795918367346936,0.2789115646258503,0.1564625850340136,0.3113207547169811,0.2916666666666667,0.4149659863945578,0.0754716981132075,0.1458333333333333,0.3636363636363636,0.1700680272108843,0.3773584905660377,0.5,2.4489795918367347,0.0884353741496598,1.272108843537415,0.6870748299319728,0.3945578231292517,0.0068027210884353,2107.0072711112184,83.71840713420434,500.65559818462265,61.02565603647441,0.9010411975950255,0.0640848581064992,9736.909826938088,1977.8138810041191,373.12439553927567,44.96783685096391,0.3100575505935483,0.0760453059087311,0.1529665837337954,0.045499527901625,0.5668084156054466,0.0732324865064034,15.17203997020386,0.7494071562632597,0.5612722201125987,1,-5.758848938108728,2.524188902257534
AW,t,220,71.41818181818182,21.18589056099008,0.6227272727272727,0.2363636363636363,93.25909090909092,108.14090909090908,-14.88181818181818,3.959090909090909,0.1818181818181818,0.0272727272727272,0.2773722627737226,0.1904761904761904,0.3181818181818182,0.0948905109489051,0.1785714285714285,0.3023255813953488,0.1727272727272727,0.781021897810219,0.0072992700729927,2.713636363636364,0.3090909090909091,0.8318181818181818,0.8181818181818182,0.7545454545454545,0.0,2057.110944767482,122.56785235153394,579.3564187893564,81.83954681796118,0.9206132409333388,0.1218726931655194,9522.442488832148,1708.0690273899577,436.5417778760525,52.253323345743446,0.3327330945593878,0.0683972939257193,0.1877121391274925,0.0729543607416428,0.5857589359928915,0.0652378060036989,20.593995589030012,0.7077073957763531,0.5196063084963134,3,-0.4284350667676031,1.0136894249925634
AZUWU,t,104,54.11538461538461,34.48352603348172,0.4423076923076923,0.2115384615384615,66.71153846153847,113.2403846153846,-46.52884615384615,3.7115384615384617,0.1634615384615384,0.0192307692307692,0.1956521739130435,0.2560975609756097,0.2884615384615384,0.1304347826086956,0.3292682926829268,0.1818181818181818,0.1153846153846153,0.782608695652174,0.0434782608695652,1.5480769230769231,0.1634615384615384,0.4807692307692308,0.4615384615384615,0.4423076923076923,0.0,1973.1654858825336,154.00845882631833,602.9905085272324,128.16018770571318,0.9982502951527786,0.0898314715235001,7073.379303691359,1054.892247127699,423.30770511969246,95.37551769608464,0.4238713410999998,0.1412346231777836,0.2455326211614648,0.0681815413665707,0.651756266663883,0.0503241212489401,29.0009513619494,0.7702283915930409,0.6564877773187352,2,3.7514560256925393,-4.229366130360642
AlekS,t,52,49.94230769230769,15.571913522131466,0.2692307692307692,0.0769230769230769,58.90384615384615,131.21153846153845,-72.3076923076923,3.1153846153846154,0.173076923076923,0.0,0.3571428571428571,0.125,0.2115384615384615,0.0714285714285714,0.1875,0.1,0.0384615384615384,0.6428571428571429,0.0,2.076923076923077,0.4230769230769231,0.5961538461538461,0.5769230769230769,0.4423076923076923,0.0384615384615384,2134.9070437255014,233.19936603967557,463.624642624682,86.7593682061435,0.9748139196535728,0.1182734408007101,7207.398105340854,1173.391424595424,352.3829893799844,102.6604165353061,0.388269953892726,0.0875138622796216,0.188643345997092,0.0685531981977299,0.6176919420251404,0.0258554038890464,29.46679081863012,0.3182767428418445,0.3362645463019306,2,0.37441473494650096,-7.302462315232079
Aleksib,t,154,53.896103896103895,20.85194593759275,0.435064935064935,0.3051948051948052,66.02597402597402,99.27272727272728,-33.246753246753244,4.214285714285714,0.2077922077922078,0.0649350649350649,0.2985074626865671,0.2616822429906542,0.3116883116883117,0.1044776119402985,0.1588785046728972,0.2916666666666667,0.0974025974025974,0.6268656716417911,0.0,3.2532467532467533,0.3051948051948052,1.077922077922078,1.155844155844156,0.6883116883116883,0.0259740259740259,2093.624604578996,125.26160839727952,536.7061173985494,105.17816248908274,0.9311733206047,0.0754217629633371,9466.55897191241,1855.499699234363,419.052238696518,81.72079836291825,0.3403978395513829,0.0584040659458125,0.1602120948216738,0.0626669114409515,0.5507505739892308,0.0615338797125459,21.226065841936613,0.668933704105979,0.5390248371741009,3,-2.5969099305553076,0.7673123969373988
BELCHONOKK,t,108,55.333333333333336,34.76155783013439,0.4907407407407407,0.2685185185185185,69.67592592592592,104.51851851851852,-34.842592592592595,5.101851851851852,0.1203703703703703,0.037037037037037,0.2830188679245283,0.1772151898734177,0.2685185185185185,0.1320754716981132,0.1392405063291139,0.3888888888888889,0.0833333333333333,0.7169811320754716,0.0188679245283018,1.879629629629629,0.1759259259259259,0.6296296296296297,0.5833333333333334,0.4907407407407407,0.0,2095.3974121535102,117.74626149941712,608.5444697339161,144.07582861189437,1.0518180029533757,0.1210648545581305,9053.34892555536,1613.6955543189522,424.6232600611484,128.4664264753655,0.3757913759492662,0.0709399643515941,0.1728015275061582,0.0341943393483789,0.5943227971306186,0.0643228957702812,18.0747760944416,0.6966671750396868,0.5166632758242055,3,0.47910219959978456,-0.44709416547914127
Bart4k,t,105,61.457142857142856,21.589413786195703,0.5142857142857142,0.2,73.85714285714286,112.34285714285714,-38.48571428571429,4.057142857142857,0.1142857142857142,0.0,0.3148148148148148,0.25,0.3619047619047619,0.1296296296296296,0.1428571428571428,0.3684210526315789,0.1047619047619047,0.7592592592592593,0.0,1.5333333333333334,0.1714285714285714,0.3809523809523809,0.5428571428571428,0.4285714285714285,0.0095238095238095,2002.5242859237007,89.38133442053278,592.830116585358,123.40327190300984,1.032700608187844,0.1445820104224034,8159.40128302454,1424.8735544019185,419.0505057029011,107.19878916321268,0.4376836682262564,0.0790203605625664,0.198911206632593,0.0601125679441954,0.6075505364790871,0.0556528322937943,15.869217807376588,0.53515540656112,0.4579378024515472,4,2.1238027841033627,-1.9195904524173393
Boombl4,t,137,50.8029197080292,23.35847688218696,0.364963503649635,0.1824817518248175,59.00729927007299,114.05839416058394,-55.05109489051095,2.934306569343066,0.2262773722627737,0.0145985401459854,0.3,0.3482142857142857,0.3941605839416058,0.12,0.2142857142857142,0.2,0.0656934306569343,0.76,0.0,2.554744525547445,0.3138686131386861,0.6715328467153284,0.8540145985401459,0.7153284671532847,0.0,2017.5884937133576,90.90518990289053,518.8405515434605,115.22544475471618,0.9426896012130984,0.0485225778112632,8710.705623479624,2228.214727694722,392.83959598033897,75.10842737066676,0.4188775004065946,0.078575642028908,0.2027874201612526,0.0540411895980337,0.559780605435973,0.0747532603947085,20.188238157199347,0.4646742843306868,0.4358429281512811,3,0.29920644263873125,-1.580944630165671
Bymas,t,104,60.02884615384615,45.01477488557968,0.5,0.2019230769230769,74.91346153846153,110.2403846153846,-35.32692307692308,1.8653846153846156,0.1538461538461538,0.0,0.2884615384615384,0.1927710843373494,0.2980769230769231,0.0961538461538461,0.1204819277108433,0.3333333333333333,0.1057692307692307,0.7307692307692307,0.0384615384615384,1.7403846153846154,0.1538461538461538,0.6442307692307693,0.5769230769230769,0.3653846153846153,0.0,2040.728434329548,140.22111058672832,576.5630430525914,127.7404596382342,0.9711562270385634,0.0530709171179183,7649.895116273712,910.4295966453852,386.3157422322539,83.56134805982552,0.390037475086927,0.1262384675490767,0.185778153699231,0.0723808442467419,0.6178355972329193,0.0393883367511533,19.439083133845703,1.1243426962831211,0.8088362374828526,2,1.0771050322849935,-2.5941482785459344
Chr1zN,t,89,48.82022471910113,25.579850857877503,0.4044943820224719,0.1685393258426966,60.662921348314605,115.71910112359552,-55.056179775280896,2.449438202247191,0.1573033707865168,0.0224719101123595,0.3611111111111111,0.3243243243243243,0.4157303370786517,0.0833333333333333,0.3108108108108108,0.1153846153846153,0.0786516853932584,0.5,0.0,2.629213483146068,0.146067415730337,0.7303370786516854,1.0674157303370786,0.6741573033707865,0.0112359550561797,2020.443568873781,121.95296048110492,552.5469254866616,94.27995529312346,0.993251238219715,0.1041125129728213,8609.968642958203,1137.547711904513,444.8000275166255,86.51721976710354,0.4029981372411432,0.0655365974618834,0.2014187705517194,0.1286836782417499,0.5992155741758077,0.0537320317244464,14.853419561647652,0.5007249997595763,0.3789111197058448,3,0.5352974157647796,-2.5407978685581445
