side,method,name,k,noise_pct,silhouette,davies_bouldin,stability_mean,stability_std,noise_assignment_stability_mean,noise_assignment_stability_std,composite_score,gt_ari,gt_accuracy,gt_matched_n,gt_match_rate,gt_side_ari,gt_side_accuracy,gt_side_balanced_accuracy,gt_side_macro_f1,gt_side_baseline_accuracy,gt_general_ari,gt_general_accuracy,gt_general_balanced_accuracy,gt_general_macro_f1,gt_general_baseline_accuracy,gt_igl_ari,gt_igl_accuracy,gt_igl_balanced_accuracy,gt_igl_macro_f1,gt_igl_baseline_accuracy
t,hdbscan,hdbscan_mcs10_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9131667766788631,0.051678118270083,0.9686624203821655,0.0190802341948547,0.5257642735356163,0.2981333226453862,0.5312,128.0,0.649746192893401,0.2981333226453862,0.5312,0.4691666666666666,0.3189952904238619,0.375,0.19136355499689472,0.4062,0.385,0.23705555555555557,0.234375,-0.02010478846939973,0.7578,0.47549019607843135,0.29260935143288086,0.796875
t,hdbscan,hdbscan_mcs12_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9131667766788631,0.051678118270083,0.9686624203821655,0.0190802341948547,0.5257642735356163,0.2981333226453862,0.5312,128.0,0.649746192893401,0.2981333226453862,0.5312,0.4691666666666666,0.3189952904238619,0.375,0.19136355499689472,0.4062,0.385,0.23705555555555557,0.234375,-0.02010478846939973,0.7578,0.47549019607843135,0.29260935143288086,0.796875
t,hdbscan,hdbscan_mcs15_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9131667766788631,0.051678118270083,0.9686624203821655,0.0190802341948547,0.5257642735356163,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs5_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9131667766788631,0.051678118270083,0.9686624203821655,0.0190802341948547,0.5257642735356163,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs6_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9131667766788631,0.051678118270083,0.9686624203821655,0.0190802341948547,0.5257642735356163,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs8_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9131667766788631,0.051678118270083,0.9686624203821655,0.0190802341948547,0.5257642735356163,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs4_ms1,2,0.2234,0.2478377184039549,1.4380217445690102,0.9121258101124594,0.0535606102379936,0.9688535031847132,0.0188279866922538,0.5245948901218905,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs10_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8279185275559608,0.0706820881065588,0.9396178343949046,0.0272248105958554,0.4954990808192742,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs12_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8279185275559608,0.0706820881065588,0.9396178343949046,0.0272248105958554,0.4954990808192742,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs4_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8279185275559608,0.0706820881065588,0.9396178343949046,0.0272248105958554,0.4954990808192742,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs5_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8279185275559608,0.0706820881065588,0.9396178343949046,0.0272248105958554,0.4954990808192742,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs6_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8279185275559608,0.0706820881065588,0.9396178343949046,0.0272248105958554,0.4954990808192742,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs8_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8279185275559608,0.0706820881065588,0.9396178343949046,0.0272248105958554,0.4954990808192742,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs15_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.8264816678978868,0.0720846243684831,0.9392557827690244,0.0278452518245216,0.4943633224512748,,,,,,,,,,,,,,,,,,,
t,kmeans,kmeans_k4,4,0.0,0.1336996067995197,2.14003384532458,0.8599255983477369,0.0669018080127811,,,0.4343829398315221,0.46106741876507856,0.7891,128.0,0.649746192893401,0.46106741876507856,0.7891,0.6770833333333334,0.6482758620689655,0.375,0.4219486068254731,0.6484,0.6261538461538462,0.5770545332887254,0.234375,0.1164486196641146,0.8828,0.7975113122171946,0.8107068914522331,0.796875
t,kmeans,kmeans_k5,5,0.0,0.1203149284493258,2.117150622202146,0.7851063462430875,0.0668003686218596,,,0.3996095224875027,0.4446314104935037,0.7812,128.0,0.649746192893401,0.4446314104935037,0.7812,0.6729166666666666,0.6419481981981981,0.375,0.41101657216695026,0.6484,0.6271794871794871,0.5817114331400045,0.234375,0.1161984369205141,0.8984,0.7929864253393666,0.8247498683517641,0.796875
t,hdbscan,hdbscan_mcs3_ms2,2,0.2995,0.269231538191672,1.3553827450854283,0.7359668284237898,0.2595374318529935,0.913312101910828,0.0761187537203404,0.3831762636678318,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs3_ms1,3,0.2487,0.2149497256790866,1.338249397307564,0.7896509488343061,0.2710071362284159,0.9294904458598724,0.0655107540089962,0.3789714906056576,,,,,,,,,,,,,,,,,,,
t,kmeans,kmeans_k6,6,0.0,0.1159260557900126,2.1513541044156983,0.7208055147748021,0.0876409748206418,,,0.3631010199036965,,,,,,,,,,,,,,,,,,,
t,gmm,gmm_k4,4,0.0,0.1335999174075604,2.129798928175912,0.6954627924179553,0.1473011280983643,,,0.3366065013379186,0.4307309118503736,0.7734,128.0,0.649746192893401,0.4307309118503736,0.7734,0.6645833333333333,0.6366960761550964,0.375,0.4055880508723627,0.6484,0.6261538461538462,0.576648533064998,0.234375,0.11827565447262016,0.8828,0.7975113122171946,0.8107068914522331,0.796875
t,gmm,gmm_k5,5,0.0,0.1193568861851835,2.216955848858805,0.639991932609998,0.1032615679379991,,,0.3246054769365644,0.4651913877401965,0.7891,128.0,0.649746192893401,0.4651913877401965,0.7891,0.6802083333333333,0.6469478357380688,0.375,0.3981441498777743,0.6406,0.6271328671328671,0.6181785996370813,0.234375,0.09175887457724981,0.8906,0.7737556561085972,0.8078902229845626,0.796875
t,hdbscan,hdbscan_mcs2_ms1,2,0.0102,0.3164979401822785,0.9750612245133216,0.6301328651974584,0.3991098045466013,0.9398089171974524,0.0943551623878422,0.3202710839998238,,,,,,,,,,,,,,,,,,,
t,kmeans,kmeans_k7,7,0.0,0.0957951586129419,2.2496980690049977,0.6282970942660306,0.0987557915060787,,,0.3116787636553835,,,,,,,,,,,,,,,,,,,
t,gmm,gmm_k6,6,0.0,0.1025818287194079,2.409968616240062,0.5879997836845365,0.0764981984195958,,,0.3042849317833797,,,,,,,,,,,,,,,,,,,
t,kmeans,kmeans_k8,8,0.0,0.0971592807599733,2.2524502557248085,0.5860137833828827,0.0914202119791595,,,0.2981932419815432,,,,,,,,,,,,,,,,,,,
t,gmm,gmm_k8,8,0.0,0.0971592807599733,2.2524502557248085,0.5202616888870655,0.082935892342825,,,0.2752861320377501,,,,,,,,,,,,,,,,,,,
t,gmm,gmm_k7,7,0.0,0.0808951149346308,2.3921603627400208,0.5335969715302515,0.0739421805075114,,,0.27517943912138,,,,,,,,,,,,,,,,,,,
t,kmeans,kmeans_k3,3,0.0,0.1220241471534653,2.194880492943834,0.6308792546535251,0.2417545516063999,,,0.2670596906779556,,,,,,,,,,,,,,,,,,,
t,gmm,gmm_k3,3,0.0,0.1203129626057829,2.4071414148922745,0.4954215635762349,0.1669045575703454,,,0.2382322219362048,,,,,,,,,,,,,,,,,,,
t,hdbscan,hdbscan_mcs2_ms2,2,0.0203,0.3268805473591405,0.9590824975710476,0.26898872146025,0.3829267933951333,0.8038216560509553,0.1269642616217547,0.2328408243229439,,,,,,,,,,,,,,,,,,,
