,importance
awp_kill_share,0.09496799423630642
opening_kill_rate,0.07137542813561548
rifle_kill_share,0.057070390819155326
first_contact_received_rate,0.05071869592227248
avg_distance_to_team_centroid,0.049009974133501034
relative_team_centroid_distance,0.046124984629618684
opening_death_rate,0.04507441120508631
damage_per_round,0.044789777985638456
he_grenades_per_round,0.04478032642612488
avg_distance_to_closest_teammate,0.04220222796795251
flashbangs_per_round,0.03570611098522984
time_near_enemy_rate,0.03178495002672271
flash_assists_per_round,0.029503955268437982
smokes_per_round,0.02723592317246801
kpr,0.024936153552339965
time_stationary_rate,0.022775382541103183
opening_duel_success,0.022700778514963032
first_contact_rate,0.0215574597848026
avg_distance_moved_per_round,0.02072029576799867
avg_distance_to_closest_teammate_std,0.01857888980475731
survival_rate,0.01839284110665179
avg_distance_to_team_centroid_std,0.017077517384164947
damage_taken_per_round,0.016850003750868068
multi_kill_rate,0.015732545054502382
time_stationary_rate_std,0.014460360528550377
avg_distance_moved_per_round_std,0.013812398942829663
fire_nades_per_round,0.013714321254910547
util_damage_per_round,0.010617158110303712
assists_per_round,0.01034397469249441
relative_team_centroid_distance_std,0.0103388715955775
adr_std,0.008595010077664488
avg_distance_to_enemy,0.007754083075495327
rating_std,0.0071865707724988875
avg_distance_to_enemy_std,0.006713279230527632
trade_kill_rate,0.006391833939125554
impact_std,0.006099995923076021
death_traded_rate,0.004847948736553567
time_near_enemy_rate_std,0.004503217763275648
kast_std,0.0025394556829975365
decoys_per_round,0.0024145014978372015
player_page,0.0
