,importance
first_contact_rate,0.0730910659814088
awp_kill_share,0.06826770079127574
trade_participation,0.06092801119809497
rifle_kill_share,0.049628426531300084
flashbangs_per_round,0.04591921841047943
trade_kill_rate,0.04516844664385962
smokes_per_round,0.04122157763533419
grenades_per_round,0.04078055991936349
time_near_enemy_rate,0.039946242593714286
avg_distance_to_team_centroid,0.03924278695330637
death_traded_rate,0.03592496387221043
he_grenades_per_round,0.03412289982827031
avg_distance_to_closest_teammate,0.03175163997650426
relative_team_centroid_distance,0.031578448898667316
flash_assists_per_round,0.02923303846060186
damage_per_round,0.02323802363776641
damage_diff_per_round,0.023105736243132124
opening_death_rate,0.021008383656290555
damage_taken_per_round,0.01852951283511375
avg_distance_to_team_centroid_std,0.01779612361106221
survival_rate,0.016182004978362252
avg_distance_moved_per_round,0.01499877355139098
relative_team_centroid_distance_std,0.014339989167449184
fire_nades_per_round,0.013788063497678383
opening_duel_success,0.013584140832131431
time_stationary_rate,0.013285517594667623
first_contact_rate_std,0.011474567366055066
avg_distance_to_enemy,0.011144477314972208
rating_std,0.011064896811133871
avg_distance_to_enemy_std,0.010681853030206842
avg_distance_moved_per_round_std,0.01062489174421788
adr_std,0.00957338705907415
multi_kill_rate,0.009555683098990516
avg_distance_to_closest_teammate_std,0.008718645891817844
opening_kill_rate,0.008161786548121393
assists_per_round,0.008056883456938356
rounds_played,0.007874183082087276
time_stationary_rate_std,0.007507780467403295
impact_std,0.007390266095230775
kast_std,0.007371353425448302
util_damage_per_round,0.006968012868358204
time_near_enemy_rate_std,0.0047935780999182505
decoys_per_round,0.0023764563405897473
player_page,0.0
