cluster,dominant_role,n_players,n_match,accuracy
0,Spacetaker,4,2,0.5
1,Spacetaker,32,17,0.5312
2,AWPer,26,26,1.0
3,Spacetaker,23,12,0.5217
4,Lurker,30,24,0.8
5,Spacetaker,22,16,0.7273
