cluster,dominant_role,n_players,n_match,accuracy
0,AWPer,25,24,0.96
1,Linchpin,7,2,0.2857
2,Opener,44,26,0.5909
3,Linchpin,33,15,0.4545
4,IGL,19,16,0.8421
