cluster,dominant_role,n_players,n_match,accuracy
0,Spacetaker,16,12,0.75
1,Spacetaker,30,16,0.5333
2,Lurker,30,27,0.9
3,Spacetaker,22,17,0.7727
4,AWPer,25,25,1.0
