cluster,dominant_role,n_players,n_match,accuracy
0,Opener,45,26,0.5778
1,IGL,20,17,0.85
2,AWPer,17,16,0.9412
3,AWPer,8,8,1.0
4,Linchpin,33,16,0.4848
