,importance
awp_kill_share,0.16576402012385938
first_contact_rate,0.15316660262711954
rifle_kill_share,0.14972262528159852
he_grenades_per_round,0.13960782155346174
time_near_enemy_rate,0.046832762662521656
flash_assists_per_round,0.04238479212490267
opening_death_rate,0.0417911020813475
relative_team_centroid_distance,0.03386224314301371
util_damage_per_round,0.03197517256862044
fire_nades_per_round,0.02823674918289059
damage_taken_per_round,0.02453803918954572
first_contact_rate_std,0.02388707170982961
flashbangs_per_round,0.022011345651945496
avg_distance_to_team_centroid,0.01413769180091658
survival_rate,0.014044648734801806
relative_team_centroid_distance_std,0.00847465686668849
avg_distance_to_closest_teammate,0.007336693350117689
avg_distance_to_closest_teammate_std,0.00688684757100832
avg_distance_to_enemy,0.006434161536352864
damage_diff_per_round,0.00615528505430026
avg_distance_to_team_centroid_std,0.003985915987392721
opening_kill_rate,0.003778891901134471
opening_duel_success,0.003495444248751516
trade_kill_rate,0.0027644995976688247
avg_distance_moved_per_round_std,0.0024880784274500705
smokes_per_round,0.0020193359673227385
kast_std,0.0017800889216238905
grenades_per_round,0.0016651199379520373
avg_distance_moved_per_round,0.001623705093110706
time_stationary_rate,0.0016044582029831494
assists_per_round,0.0015021067804461424
avg_distance_to_enemy_std,0.0014833149672538268
damage_per_round,0.001158160002873989
time_stationary_rate_std,0.0009010210933317468
rounds_played,0.0007702074466664023
multi_kill_rate,0.0004661273857466347
adr_std,0.0003024262906516901
time_near_enemy_rate_std,0.0002549586950140478
trade_participation,0.0002165242165242167
death_traded_rate,0.00017045135968601056
impact_std,0.00016417050691244238
rating_std,0.00015466015466015465
decoys_per_round,0.0
player_page,0.0
