cluster,n_players,players,adr_std_mean,kpr_mean,survival_rate_mean,damage_per_round_mean,damage_taken_per_round_mean,damage_diff_per_round_mean,util_damage_per_round_mean,assists_per_round_mean,flash_assists_per_round_mean,trade_kill_rate_mean,death_traded_rate_mean,trade_participation_mean,opening_kill_rate_mean,opening_death_rate_mean,opening_duel_success_mean,multi_kill_rate_mean,grenades_per_round_mean,he_grenades_per_round_mean,flashbangs_per_round_mean,smokes_per_round_mean,fire_nades_per_round_mean,decoys_per_round_mean,avg_distance_to_enemy_mean,avg_distance_to_enemy_std_mean,avg_distance_to_team_centroid_mean,avg_distance_to_team_centroid_std_mean,relative_team_centroid_distance_mean,relative_team_centroid_distance_std_mean,avg_distance_moved_per_round_mean,avg_distance_moved_per_round_std_mean,avg_distance_to_closest_teammate_mean,avg_distance_to_closest_teammate_std_mean,time_near_enemy_rate_mean,time_near_enemy_rate_std_mean,first_contact_rate_mean,first_contact_rate_std_mean,time_stationary_rate_mean,time_stationary_rate_std_mean,kast_std_mean,impact_std_mean,rating_std_mean
0,51,"art, aw, azuwu, bart4k, beastik, bymas, chr1zn, d1ledez, elige, emiliaqaq, faven, fl4mus, flamez, huasopeek, ins, jamyoung, jdc, jl, jt, kvem, lake, launx, lnz, lucky, magnojez, malbsmd, matys, moseyuh, nertz, rez, sausol, senzu, sfade8, sk0r, snax, sonic, staehr, starry, stressarn, swisher, tauson, techno4k, tjp, twistzz, vexite, xantares, xertion, xielo, yekindar, zero, zero ",28.31277330129784,0.5977510699300477,0.2254720063127131,86.01356043198113,109.11134104458799,-23.09778061260686,4.289929978952662,0.19868155958689407,0.023813675762005205,0.0030959752321981413,0.004649282393369718,0.005279034690799396,0.16013884349028054,0.1955673485585785,0.38464453283782263,0.13936403481583495,2.040541785346168,0.2729553117566604,0.6041003630609665,0.5965798659509062,0.5605560028322395,0.006350241745395242,2038.7776229440544,127.07424290557209,549.5760302628316,111.84936975869034,0.9980998265039579,0.1147684271591612,8256.12676018896,1466.0572802473396,396.4817287272944,102.81183356606448,0.40396485013864863,0.07997356002066018,0.22263996907618142,0.06015736322048324,0.5954087467104632,0.05769636990131771,17.930295699530397,0.694515283642004,0.5091925009999473
1,45,"b1t, belchonokk, blamef, c4llm3su3, daps, dgt, dziugss, electronic, esenthial, fame, frozen, grim, heavygod, im, jba, jks, koala, krabeni, krazy, kscerato, luken, masval, mzinho, n1ssim, naf, neityu, nicx, niko, nilo, piriajr, pr, rainwaker, ropz, s1ren, shock, spinx, stavn, susp, tenzy, teses, tn1r, wicadia, yuurih, zont1x, zweih",26.54344522130897,0.6062516546488522,0.2719346410861115,86.4316356664788,103.10906501225935,-16.67742934578054,3.737666229190666,0.1833549799028616,0.022965811829145588,0.1409082484134007,0.11847027700560216,0.1751179442309036,0.12233243454047815,0.13469832748165655,0.4265228123628123,0.13986891531534618,2.0134353148675346,0.33554987321471624,0.5476703688815013,0.6137742879749065,0.5148987881897494,0.001541996606660818,2084.6831606199653,136.69923069714622,635.0884889950789,141.9717573962437,1.0995404112007927,0.1366661594286976,8670.312809828038,1450.6692605572025,479.4136828845924,128.92767451721932,0.3824997486537809,0.0917280748757989,0.2149797282080834,0.06356638561662206,0.5726635140907892,0.05347020748668527,16.098050819993315,0.5946671328122787,0.4439132472744367
2,18,"aleks, brollan, controlez, corn, crepow, ex3rcice, fer, graviti, jota, nealan, nekiz, rdnzao, scrunk, sjuush, tabsen, th0r, try, xkacpersky",22.3552729452786,0.42007910615161287,0.12931648726438488,64.32742297210594,116.61207702080401,-52.28465404869805,3.036068209307098,0.15532289130021967,0.02019900672052302,0.1339912267263127,0.0771426683225201,0.12304444352466952,0.14457373489429354,0.20196196034222896,0.2554924242424242,0.08299291777046147,1.7047566701601626,0.20707938181751745,0.5437220005152619,0.5761755599763352,0.37104834106185786,0.00673138678919025,2045.302225502009,151.29091820381433,506.5806661797092,97.44092970583108,0.9909776676282599,0.10085162290997461,7274.615901696082,1247.537621758224,367.9035824218927,91.32069517654044,0.4091187187180305,0.09746722778056287,0.20428094239366304,0.06924689141265289,0.6307707697401882,0.05317120802002205,17.677847011231936,0.4992264964748137,0.3929449488037483
3,31,"aleksib, alex, alex666, alistair, apex, biguzera, blitz, boombl4, fallen, gafolo, gizmy, hen1, hooxi, hunter-, karrigan, kashl1d, liazz, magixx, maj3r, maka, max, mercury, mezii, nin9, nitr0, s1n, siuhy, snappi, westmelon, x5g7v, xeedo",20.33280894257108,0.49555434371612084,0.24619071046940366,72.66006416699274,106.50038050672914,-33.840316339736404,4.221444103774777,0.21293594853257394,0.057452700863942996,0.16694560749454823,0.11848824264766308,0.16784659870768268,0.10577024601899127,0.16791745369775035,0.2872676152728193,0.10798277306058847,2.8350466617234535,0.21740495734052093,1.0571643731862819,0.9655570193464418,0.5882832382633477,0.006637073586860361,2071.4908074040877,116.84440056245558,531.6502560527325,92.79719460352024,0.972038444439866,0.08908424529565366,8805.561581498161,1371.690063455482,390.9927407483523,84.08278684020708,0.3714950893156443,0.07701096582808932,0.18029739870809025,0.05439409921769081,0.5768154330917397,0.04971306951036954,16.628113163838638,0.5093328388857331,0.3914574317472349
4,36,"910, afro, broky, cmtry, flashie, gr1ks, hypex, jame, jee, kl1m, m0nesy, martinezsa, maxxkor, meyern, mo0n, modo, molodoy, osee, phzy, s1mple, s1zzi, saadzin, saffee, sdy, sh1ro, slaxz-, story, sunpayus, torzsi, ultimate, w0nderful, woxic, yxngstxr, z4kr, zorte, zywoo",24.965201876385102,0.5944562274061123,0.3153515853539521,87.82804919228636,97.55007935088435,-9.722030158598006,2.4429063987555146,0.20197277048505852,0.08524268319400728,0.24998260008637388,0.15075568595283567,0.25375116684423493,0.11493600308282738,0.09231389906761776,0.4969319536322746,0.13733127292978392,2.3643029102767925,0.07662062746619083,1.1197100955931356,0.7531606259463584,0.4102282486092194,0.004583312661887772,2109.9039009776343,127.51177329122197,507.81626132280667,89.9187407844992,0.9261683175537176,0.08190373648426823,8828.388014355907,1343.4101027709262,372.35530551535396,78.59112419957559,0.3342165196397668,0.0843189351421655,0.14363771471583883,0.04393096610859396,0.5783451483112896,0.04887403422760996,15.885039660853359,0.6306172535742101,0.46300610583535995
5,34,"asap, br0, brnz4n, cairne, cobrazera, dav1g, dem0n, dexter, doc, donk, dumau, insani, jabbi, jcobbb, kensizor, kisserek, kyousuke, latto, luchov, makazze, misutaaa, mopoz, nettik, nota, npl, qw1nk1, ryu, snow, soulfly, v$m, venomzera, xelex, xerolte, xfl0ud",28.736078251997945,0.6187610642974939,0.22194181510363667,89.25336298724274,109.60304675763118,-20.349683770388435,4.265098027635712,0.2010384039105672,0.01966335174572708,0.30288371400658815,0.2623941682277487,0.3921283498343725,0.16291201091800822,0.18774095109569466,0.39867320651184696,0.14975315884165552,1.8412829472871426,0.2788295662291074,0.5137183286704056,0.5284737667233542,0.5135354217443154,0.0067258639199597025,2023.7378622703623,130.6395492842628,535.2064842889854,117.94148854197894,0.9808377451860663,0.12339423932015624,8157.503305567442,1389.482666512733,381.2898756113368,103.5148720233371,0.41872936172209213,0.08900504820522068,0.22455369687178672,0.0605366110742877,0.5977205185021301,0.05825778665319192,17.923014416540326,0.6841879934085977,0.5025307693589509
