,importance
awp_kill_share,0.07689008404038956
rifle_kill_share,0.07241140294247565
time_near_enemy_rate,0.07036877792655226
relative_team_centroid_distance,0.05494487106137784
avg_distance_to_enemy,0.05468457842883923
avg_distance_to_team_centroid,0.05243879707145468
first_contact_rate,0.04383001226471801
grenades_per_round,0.037394631737958206
avg_distance_to_closest_teammate,0.03543423917135623
damage_diff_per_round,0.03422560988914169
damage_per_round,0.033451044838295765
death_traded_rate,0.03182805376049311
trade_participation,0.029409839005302096
trade_kill_rate,0.028978862455216105
avg_distance_to_team_centroid_std,0.028897480095778853
multi_kill_rate,0.021662150521338346
fire_nades_per_round,0.019858886671801218
he_grenades_per_round,0.019833963228704957
avg_distance_to_closest_teammate_std,0.018347089417632467
time_stationary_rate,0.016450124156354762
assists_per_round,0.01573488950278833
avg_distance_moved_per_round,0.015588987584148978
opening_duel_success,0.015313705189059884
damage_taken_per_round,0.015018732182686439
util_damage_per_round,0.014692286090495763
smokes_per_round,0.014014649381023293
survival_rate,0.01325258386647952
flashbangs_per_round,0.011946544443329744
flash_assists_per_round,0.011012564871498282
impact_std,0.008446161567536307
kast_std,0.008166486090017496
relative_team_centroid_distance_std,0.007845139616543451
avg_distance_to_enemy_std,0.007838491486434165
first_contact_rate_std,0.007654566900217997
time_near_enemy_rate_std,0.007601761448221933
opening_death_rate,0.007303042350688348
rating_std,0.0070387505460209245
opening_kill_rate,0.006608811561391316
time_stationary_rate_std,0.006311221162368912
adr_std,0.0062633690274396265
rounds_played,0.006194219594931397
avg_distance_moved_per_round_std,0.004319357250103889
decoys_per_round,0.0004931796013930993
player_page,0.0
