cluster,dominant_role,n_players,n_match,accuracy
0,Anchor,5,4,0.8
1,Rotator,25,12,0.48
2,Anchor,27,16,0.5926
3,AWPer,27,27,1.0
4,Rotator,10,9,0.9
5,Anchor,10,7,0.7
7,Rotator,33,32,0.9697
