,importance
awp_kill_share,0.10545616684092787
rifle_kill_share,0.10292310365766823
avg_distance_to_team_centroid,0.08529124821792727
relative_team_centroid_distance,0.0803106449936545
avg_distance_to_enemy,0.0767999828792164
avg_distance_to_closest_teammate_std,0.06848400501864724
time_near_enemy_rate,0.06689806473720693
avg_distance_to_team_centroid_std,0.05790501657291546
damage_taken_per_round,0.03428264059564873
avg_distance_to_closest_teammate,0.027436584612665845
opening_kill_rate,0.02511768398636745
fire_nades_per_round,0.024872556754879635
first_contact_rate,0.024465359813997452
damage_per_round,0.021360821268356672
he_grenades_per_round,0.013625356381793588
kpr,0.012879006990940519
survival_rate,0.012283364089264294
time_stationary_rate,0.012047448110806085
avg_distance_to_enemy_std,0.010134725778753302
first_contact_received_rate,0.010087717821388687
util_damage_per_round,0.009901518749832567
smokes_per_round,0.009523351349468294
multi_kill_rate,0.009489002882780267
assists_per_round,0.009488216250050273
adr_std,0.009120438186916156
time_near_enemy_rate_std,0.008317263198022272
relative_team_centroid_distance_std,0.008025863448734905
time_stationary_rate_std,0.007723060718867292
impact_std,0.007175547361591313
rating_std,0.006841166655095747
death_traded_rate,0.0063383833470700745
avg_distance_moved_per_round_std,0.006209522263381117
flash_assists_per_round,0.005096983293888114
avg_distance_moved_per_round,0.004517836726785061
opening_death_rate,0.004114180534169324
opening_duel_success,0.004027725070964525
kast_std,0.003894682309613747
flashbangs_per_round,0.0030276407130011215
trade_kill_rate,0.0028359491791025726
decoys_per_round,0.001670168637639285
player_page,0.0
