player_name,side,rounds_played,demo_count,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_attempt_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_received_rate,first_contact_participation_rate,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2
910,ct,418,36,78.71291866028709,25.991973356266637,0.8181818181818182,0.4258373205741627,113.00478468899522,84.54066985645933,28.464114832535884,4.327751196172249,0.1674641148325359,0.0311004784688995,0.175438596491228,0.2375,0.2799043062200957,0.145933014354067,0.0598086124401913,0.2057416267942583,0.7093023255813954,0.2224880382775119,0.2426900584795321,0.5994152046783626,1.9210526315789476,0.3827751196172249,0.6076555023923444,0.4952153110047846,0.430622009569378,0.0047846889952153,2166.6981477746526,102.96867323214651,799.4777625671501,99.29943222839472,1.035409715762477,0.0828233377061615,8516.818289931372,1319.5330202362095,577.276363996636,58.41664949228598,0.262027898124449,0.0625342311852877,0.1435406698564593,0.062200956937799,0.2057416267942583,0.6200404383154211,0.0448961532764299,13.414199659036248,0.6588435169798467,0.4696728955829566,3,5.643034354899868,0.6387746370793254
afro,ct,326,32,81.30674846625767,25.731338615934614,0.7944785276073619,0.4141104294478527,121.0245398773006,83.73926380368098,37.285276073619634,4.932515337423313,0.2361963190184049,0.0828220858895705,0.1891891891891892,0.2146596858638743,0.2760736196319018,0.1687116564417178,0.0674846625766871,0.2361963190184049,0.7142857142857143,0.1901840490797546,0.2239382239382239,0.5598455598455598,2.085889570552147,0.5,0.598159509202454,0.5858895705521472,0.3987730061349693,0.0030674846625766,2067.7621963157203,97.95525075769748,703.5829779543384,81.83284325093972,0.9576261595492402,0.103781391866817,8079.798471004221,1421.3135106612945,548.695960832569,52.44557433374294,0.3028633745331686,0.0678502518235583,0.1411042944785276,0.0889570552147239,0.2300613496932515,0.6417396508151364,0.0558770443109162,15.164534204291456,0.6075029599465436,0.4641019886420488,3,5.049693786335469,-1.3904871773458671
aleksib,ct,344,30,62.01453488372093,27.40872343908726,0.502906976744186,0.4709302325581395,72.84883720930233,75.69767441860465,-2.8488372093023258,8.883720930232558,0.3081395348837209,0.0755813953488372,0.2369942196531791,0.2912087912087912,0.2732558139534883,0.0755813953488372,0.0755813953488372,0.1511627906976744,0.5,0.0901162790697674,0.5895953757225434,0.0,2.941860465116279,0.627906976744186,0.8633720930232558,0.7558139534883721,0.6947674418604651,0.0,2075.963202058505,173.65317609201847,756.8507827787355,187.97012865702507,0.9966663399097678,0.1234685559719054,9733.649002924352,1582.5563843575924,516.2637713589397,109.49154515473334,0.3262163915337684,0.0944981973948991,0.0784883720930232,0.0581395348837209,0.1366279069767441,0.5406359209380799,0.0561074277049422,13.218018718319332,0.6625349565569169,0.4515760863057742,1,-3.7999186211581524,1.0701155738060897
alex,ct,141,13,79.28368794326241,25.13362457464372,0.75177304964539,0.4822695035460992,97.33333333333331,74.36170212765957,22.97163120567376,8.617021276595745,0.226950354609929,0.0283687943262411,0.2641509433962264,0.2602739726027397,0.3333333333333333,0.1063829787234042,0.0212765957446808,0.1276595744680851,0.8333333333333334,0.1843971631205673,0.7830188679245284,0.0188679245283018,2.567375886524822,0.6524822695035462,0.5531914893617021,0.6595744680851063,0.7021276595744681,0.0,2033.0863150559449,170.93195639470525,635.525326849711,137.79811114277763,0.9256247982297042,0.1683123575093037,10003.867451662672,1798.3073127622458,512.9411820348055,72.08340057258759,0.3283808735077044,0.068334750763306,0.1347517730496454,0.0709219858156028,0.2056737588652482,0.546609710437174,0.0713818397933293,11.456386316288931,0.6078940063306668,0.4021642122553363,0,-0.8291353923298141,-1.9003913762838545
alex666,ct,463,41,75.70842332613391,18.506486386224363,0.6544276457883369,0.3952483801295896,90.69114470842332,86.95896328293736,3.732181425485961,5.278617710583154,0.285097192224622,0.0453563714902807,0.2409240924092409,0.2285714285714285,0.2958963282937365,0.0907127429805615,0.0691144708423326,0.1598272138228941,0.5675675675675675,0.1447084233261339,0.7491749174917491,0.0,2.4773218142548594,0.5183585313174947,0.5593952483801296,0.816414686825054,0.5809935205183585,0.0021598272138228,2145.197377709608,180.91295484683164,811.2782980976331,167.1425319865103,1.0880547790209754,0.0982728688370786,8288.098560290551,1197.8472690881576,541.2761957252833,104.79767900805273,0.3093598188924161,0.1013726437921791,0.1058315334773218,0.0691144708423326,0.1749460043196544,0.5939079271311491,0.0401426266225353,12.127968495336804,0.4729795992211884,0.3158218043384704,1,-1.559842780734921,2.706153588376034
apex,ct,266,27,80.39473684210526,30.00992734874333,0.6353383458646616,0.3872180451127819,97.7218045112782,91.093984962406,6.62781954887218,15.413533834586469,0.3684210526315789,0.056390977443609,0.1420118343195266,0.2576687116564417,0.2481203007518796,0.1353383458646616,0.0977443609022556,0.2330827067669172,0.5806451612903226,0.1353383458646616,0.7810650887573964,0.0,2.484962406015037,0.8834586466165414,0.5263157894736842,0.5939849624060151,0.4812030075187969,0.0,2040.5127683779888,178.24007274582678,652.4177999582496,151.747554879832,0.9041976846169788,0.1290282485157813,8803.637243055298,1608.7010752501149,506.6440919469234,67.71730190189663,0.3109319268903124,0.0700052457032977,0.1428571428571428,0.131578947368421,0.2744360902255639,0.5908154251654139,0.0523117491110432,13.095886721223248,0.6900255207555464,0.455556660754477,2,-1.5459399725193728,-4.036035302583699
art,ct,447,45,82.32214765100672,31.030127282733734,0.738255033557047,0.3982102908277405,104.2662192393736,89.30648769574944,14.95973154362416,6.706935123042506,0.2751677852348993,0.0335570469798657,0.2151515151515151,0.2639405204460966,0.3176733780760626,0.1476510067114094,0.0894854586129754,0.2371364653243848,0.6226415094339622,0.192393736017897,0.6696969696969697,0.0606060606060606,2.1968680089485457,0.5302013422818792,0.5659955257270693,0.6129753914988815,0.4876957494407158,0.0,2003.5857484194428,133.8327295616018,708.477603555804,169.32858257196466,0.9401879669962688,0.1245184618545963,9188.57536594624,1627.5663251039794,539.1192916478417,109.09057310622347,0.366279704076027,0.0816500463538676,0.1655480984340044,0.0939597315436241,0.2595078299776286,0.5724769818803986,0.0583557710837457,14.208934340298516,0.6763785211331651,0.460649478659112,0,-0.5337754437436075,-2.3794644427493155
aw,ct,190,18,77.72631578947369,28.86117730068913,0.7368421052631579,0.3473684210526316,99.3157894736842,98.28947368421052,1.0263157894736843,4.757894736842105,0.2368421052631578,0.0052631578947368,0.2,0.2338709677419354,0.3,0.0842105263157894,0.0842105263157894,0.1684210526315789,0.5,0.1684210526315789,0.7071428571428572,0.0,2.889473684210526,0.7473684210526316,0.6210526315789474,0.7368421052631579,0.7842105263157895,0.0,2009.096069462672,111.94195623949844,719.5008515000131,143.33745834755567,0.940718317373194,0.0803549941179063,9129.769541805574,987.3893459605856,525.4612287672537,87.15111237691042,0.3640069978963404,0.063205580693169,0.0842105263157894,0.0947368421052631,0.1789473684210526,0.5813118922981637,0.0511359506717534,13.865239505769347,0.6238833510316645,0.4442356914016688,2,-1.977547352985698,-1.2579724378319121
azuwu,ct,326,32,72.2760736196319,26.17537136324307,0.6871165644171779,0.3282208588957055,92.6717791411043,99.75766871165644,-7.085889570552148,5.828220858895706,0.2300613496932515,0.0153374233128834,0.1785714285714285,0.2557077625570776,0.294478527607362,0.1319018404907975,0.0889570552147239,0.2208588957055214,0.5972222222222222,0.1656441717791411,0.6607142857142857,0.0,2.3220858895705523,0.6196319018404908,0.3711656441717791,0.7423312883435583,0.588957055214724,0.0,1906.087502744147,140.3455061834145,661.2945134049442,150.348230000192,0.8968422988156726,0.105113676014703,8387.508321644502,1317.8070389642326,494.8809651635543,99.02218362803096,0.4017223073545706,0.0881919521445424,0.1042944785276073,0.1441717791411043,0.2484662576687116,0.6161129725830603,0.054283624720785,16.753804604165197,0.682016896122286,0.471451044488254,2,-1.8438661161088359,-2.4937759364232033
b1t,ct,342,29,90.03508771929825,23.73199987115432,0.8567251461988304,0.4619883040935672,115.14327485380116,79.42105263157895,35.72222222222222,4.157894736842105,0.219298245614035,0.0204678362573099,0.2320819112627986,0.2282608695652173,0.3216374269005848,0.1286549707602339,0.0526315789473684,0.1812865497076023,0.7096774193548387,0.2163742690058479,0.7440273037542662,0.0443686006825938,2.58187134502924,0.5526315789473685,0.5935672514619883,0.8099415204678363,0.6257309941520468,0.0,2143.420478045472,123.39986285377113,899.363507990648,179.27410887617037,1.1474523804932788,0.0926800925724325,9319.842991596912,1205.2335823834585,584.5553840618846,104.29369352053854,0.306495792871497,0.0653371657524974,0.1228070175438596,0.0497076023391812,0.1725146198830409,0.5438232241480324,0.0487003803704051,13.662466683345396,0.6100858979368564,0.4023599644392924,1,0.7210164112819294,1.5572186853620236
