side,method,name,k,noise_pct,silhouette,davies_bouldin,stability_mean,stability_std,noise_assignment_stability_mean,noise_assignment_stability_std,composite_score,gt_ari,gt_accuracy,gt_matched_n,gt_match_rate,gt_side_ari,gt_side_accuracy,gt_side_balanced_accuracy,gt_side_macro_f1,gt_side_baseline_accuracy,gt_general_ari,gt_general_accuracy,gt_general_balanced_accuracy,gt_general_macro_f1,gt_general_baseline_accuracy,gt_igl_ari,gt_igl_accuracy,gt_igl_balanced_accuracy,gt_igl_macro_f1,gt_igl_baseline_accuracy
ct,hdbscan,hdbscan_mcs10_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,0.29257390556764795,0.5625,128.0,0.6666666666666666,0.29257390556764795,0.5625,0.4716981132075472,0.3287671232876712,0.4140625,0.20050347682393016,0.3984,0.38,0.23643603782976605,0.234375,0.0281102536640031,0.7656,0.4803921568627451,0.29696969696969694,0.796875
ct,hdbscan,hdbscan_mcs12_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,0.29257390556764795,0.5625,128.0,0.6666666666666666,0.29257390556764795,0.5625,0.4716981132075472,0.3287671232876712,0.4140625,0.20050347682393016,0.3984,0.38,0.23643603782976605,0.234375,0.0281102536640031,0.7656,0.4803921568627451,0.29696969696969694,0.796875
ct,hdbscan,hdbscan_mcs15_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs4_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs5_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs6_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs8_ms2,2,0.2135,0.2295846956630628,1.4486771125780316,0.9730238876444224,0.0299567154678074,0.991437908496732,0.0096809278461611,0.5507375018915991,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs10_ms1,2,0.1667,0.2216850563487077,1.4973833921310291,0.9634165379295624,0.0320208879902653,0.9869934640522876,0.0108384460377067,0.5413161016957799,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs12_ms1,2,0.1667,0.2216850563487077,1.4973833921310291,0.9634165379295624,0.0320208879902653,0.9869934640522876,0.0108384460377067,0.5413161016957799,,,,,,,,,,,,,,,,,,,
ct,hdbscan,hdbscan_mcs15_ms1,2,0.1667,0.2216850563487077,1.4973833921310291,0.9634165379295624,0.0320208879902653,0.9869934640522876,0.0108384460377067,0.5413161016957799,,,,,,,,,,,,,,,,,,,
