player_name,side,rounds_played,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_rate_std,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2
 NAF-FLY,ct,80,90.7625,27.68652519274813,0.85,0.475,121.0625,83.675,37.3875,6.2875,0.175,0.025,0.1764705882352941,0.0714285714285714,0.1875,0.0294117647058823,0.0238095238095238,0.6666666666666666,0.2125,0.7352941176470589,0.088235294117647,2.3,0.6,0.3875,0.6625,0.65,0.0,2127.753904679421,116.3762706049134,923.108498358513,196.856107073974,1.1554692905631847,0.0565941852287721,9471.858512599263,1349.8135118361254,603.8928336739534,127.56638668052334,0.2928724195724012,0.0798830335899564,0.1619225987578144,0.052126530130893,0.5717970695429428,0.0352967786292782,8.629652337776964,0.8371161024897437,0.4987554630087287,5,-0.24203231113481083,1.8335118741256784
 karrigan,ct,12,34.5,0.0,0.25,0.5833333333333334,44.16666666666666,58.16666666666666,-14.0,7.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,1.0,0.0,3.083333333333333,0.25,1.0833333333333333,0.9166666666666666,0.8333333333333334,0.0,2152.5029622980965,0.0,977.8100510758456,0.0,1.1174977157930506,0.0,11090.669663639588,0.0,682.753728592516,0.0,0.1913345630018817,0.0,0.1023699066569783,0.0,0.5486574206853726,0.0,0.0,0.0,0.0,2,-6.049235324786525,-2.296364623406445
 saffee,ct,86,69.01162790697674,18.79488531076466,0.6511627906976745,0.4418604651162791,98.0,82.66279069767442,15.33720930232558,6.093023255813954,0.127906976744186,0.0348837209302325,0.2142857142857142,0.2291666666666666,0.2674418604651162,0.1607142857142857,0.1458333333333333,0.5625,0.1395348837209302,0.25,0.5,1.6744186046511629,0.4186046511627907,0.3720930232558139,0.5348837209302325,0.3488372093023256,0.0,2040.820841006855,123.1234986749388,678.3079790601648,76.59647550132192,0.9649779902903094,0.1569409925028446,8390.660870082667,1307.3906566789342,554.1913235395076,61.87640785962595,0.307497190450881,0.0654921201153451,0.1469803799338556,0.0242819581937027,0.6254985421006293,0.0443735845198622,13.633970114881226,0.4799191932436655,0.353762860286194,3,-3.6231892281396783,1.317380913653505
 slaxz-,ct,56,79.375,33.089750831372314,0.8214285714285714,0.4285714285714285,111.69642857142856,86.51785714285714,25.178571428571427,6.821428571428571,0.1428571428571428,0.0535714285714285,0.2608695652173913,0.1875,0.3214285714285714,0.1521739130434782,0.09375,0.7,0.1785714285714285,0.2826086956521739,0.4565217391304347,2.0892857142857144,0.4464285714285714,0.5892857142857143,0.6428571428571429,0.4107142857142857,0.0,2068.53349547359,110.51186997388264,744.8913169853622,149.5802664041796,0.9594253045800486,0.1449646621405894,8681.025246296473,1361.3774386647049,504.4872858356558,96.38536467571626,0.3568950551699826,0.0711978288009776,0.1681614874330913,0.0444369950716916,0.6280184786274245,0.0669662443034973,6.810041983035013,0.6592167387306584,0.4731058587186846,3,-1.338052353218889,2.189000765487613
64984,ct,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-27.475160680189123,-13.247107361775528
910,ct,285,78.22456140350877,20.5277798178761,0.8105263157894737,0.4385964912280701,112.36842105263158,85.46666666666667,26.901754385964917,4.47719298245614,0.1719298245614035,0.0350877192982456,0.1904761904761904,0.25625,0.2982456140350877,0.1818181818181818,0.1,0.7241379310344828,0.2105263157894736,0.2294372294372294,0.6147186147186147,1.936842105263158,0.3859649122807017,0.6140350877192983,0.5052631578947369,0.4280701754385965,0.0035087719298245,2168.5956152042063,103.30386757252566,810.1281112431035,105.4151859365322,1.042679340238322,0.0808873828913657,8614.582832780256,1457.9594313068658,577.8012366101154,60.75701872262906,0.255325072546248,0.0591343562519754,0.1433284304215417,0.0738540666058271,0.6228765092105938,0.045947414837698,10.026812785210076,0.5592234615828555,0.3836348273697567,3,-2.754686322558392,3.5153355638848502
AW,ct,190,77.72631578947369,32.417924155795035,0.7421052631578947,0.331578947368421,99.72105263157894,103.0421052631579,-3.3210526315789477,5.057894736842106,0.2421052631578947,0.0052631578947368,0.1985815602836879,0.2283464566929134,0.3,0.1063829787234042,0.1259842519685039,0.4838709677419355,0.1684210526315789,0.7021276595744681,0.0,2.889473684210526,0.7473684210526316,0.6210526315789474,0.7368421052631579,0.7842105263157895,0.0,2009.096069462675,129.31567017931056,719.5008515000177,141.16646077908374,0.9407183173731956,0.0961239251308547,9129.769541805574,1167.749978664758,525.4612287672539,84.68071499355817,0.3640069978963404,0.0806705144383583,0.2247090750849142,0.0813357061386367,0.5813118922981637,0.0587480675682167,17.640403063306497,0.6655339372306113,0.5232245531314947,1,1.7373000750786556,-1.7273078407332816
AZUWU,ct,117,61.84615384615385,28.65426746988477,0.5641025641025641,0.3333333333333333,82.02564102564102,99.1880341880342,-17.162393162393162,5.367521367521367,0.2307692307692307,0.0256410256410256,0.1666666666666666,0.1538461538461538,0.1965811965811965,0.1363636363636363,0.1282051282051282,0.4736842105263157,0.1111111111111111,0.7424242424242424,0.0,2.145299145299145,0.6495726495726496,0.3418803418803419,0.6239316239316239,0.5299145299145299,0.0,1906.3968077639952,134.64308399735037,669.8579700848239,184.43391643260853,0.8866984428288417,0.1311000201052718,8621.913644383605,1442.3438703466795,501.0759613811059,119.75924646845424,0.4008583922748532,0.0892520142148678,0.2470349264163138,0.0622117292733699,0.6206468545231955,0.0483128802875989,25.848576757221437,0.5971816396738808,0.5230783909389317,5,0.35008326982382604,-3.0609354265144937
AlekS,ct,53,69.79245283018868,36.60285025949948,0.5471698113207547,0.3018867924528302,83.81132075471699,114.9622641509434,-31.150943396226417,9.716981132075473,0.1698113207547169,0.0566037735849056,0.1724137931034483,0.1891891891891892,0.2264150943396226,0.0,0.1891891891891892,0.0,0.0943396226415094,0.6551724137931034,0.0344827586206896,3.0754716981132075,0.9056603773584906,0.6226415094339622,0.8679245283018868,0.6792452830188679,0.0,2068.167575004688,168.78610926840582,798.7822509589422,244.50736685910584,1.0370898702884426,0.1397233441574944,8734.94184916013,1363.7785740779757,532.9008359882225,112.98534488610166,0.378396838838965,0.0837063491075556,0.2191318245420942,0.0788220948907985,0.6020860908489966,0.0901312834213937,20.311362345475946,1.3401625799658563,0.7384011004146677,1,3.988568913652615,-3.247321594265351
Aleksib,ct,182,59.67032967032967,29.979964170710076,0.4945054945054945,0.467032967032967,70.45054945054945,75.56593406593407,-5.115384615384615,9.0989010989011,0.2912087912087912,0.0714285714285714,0.2111111111111111,0.2886597938144329,0.2582417582417582,0.1444444444444444,0.134020618556701,0.5,0.0714285714285714,0.5666666666666667,0.0,2.8956043956043955,0.6428571428571429,0.8461538461538461,0.7362637362637363,0.6703296703296703,0.0,2095.6841289850863,186.99237396199564,716.9997158590842,190.3908647022093,0.9896295620750796,0.1428856201570083,9405.460659646087,1780.715009500511,489.7188125447375,118.17977409303636,0.3135905553536623,0.1036509448937735,0.1947200935656576,0.0772287615679367,0.5474227832412294,0.0602168776589438,12.990335598899408,0.6716710210059561,0.5059043393743917,0,1.7679223610623331,-1.3458091787720152
