cluster,dominant_role,n_players,n_match,accuracy
0,Closer,4,2,0.5
1,Opener,28,14,0.5
2,Linchpin,11,6,0.5455
3,Opener,33,16,0.4848
4,AWPer,27,25,0.9259
5,Linchpin,34,17,0.5
