side,method,name,k,noise_pct,silhouette,davies_bouldin,stability_mean,stability_std,composite_score
ct,kmeans,kmeans_k3,3,0.0,0.12436834686900786,2.4171229932957368,0.7392947867688399,0.2026361224026895,0.3229395728153653
ct,kmeans,kmeans_k4,4,0.0,0.11898041041767557,2.4590946557901883,0.6230474414579403,0.1310087443364335,0.30222624004805526
ct,kmeans,kmeans_k5,5,0.0,0.11504838909995085,2.192956137672728,0.5156585825243414,0.09509704349782744,0.2768818501867417
ct,kmeans,kmeans_k6,6,0.0,0.1040349625258172,2.3123350826304554,0.5230002400983973,0.1017915979000215,0.27047780649976133
ct,kmeans,kmeans_k7,7,0.0,0.09969566022017642,2.10689203953831,0.46865577749319165,0.07352678766079812,0.2623028724896944
ct,kmeans,kmeans_k8,8,0.0,0.08831035454030836,2.141386878519108,0.4296310047924871,0.08921683769508018,0.23515595603973513
ct,gmm,gmm_k4,4,0.0,0.09778701986428173,2.4211302786975004,0.4474508005182705,0.11664462932047998,0.22989748802371152
ct,gmm,gmm_k3,3,0.0,0.11043936630607536,2.5781992109915874,0.454310449474693,0.16040588031595265,0.21763161143953583
ct,gmm,gmm_k8,8,0.0,0.06894844109737089,2.284977808455013,0.3479232940937021,0.06978194159984305,0.1997191293368073
ct,gmm,gmm_k7,7,0.0,0.05554484977844738,2.830429728474705,0.38121515399700323,0.07555010396642121,0.19669742268817758
ct,gmm,gmm_k5,5,0.0,0.06486886093335716,2.696746209005852,0.3858343783656784,0.09558764902656804,0.19614786729826605
ct,gmm,gmm_k6,6,0.0,0.0657224878099553,2.806313560423606,0.36212953407399945,0.06962862366400425,0.1958336378465081
