cluster,dominant_role,n_players,n_match,accuracy
0,Linchpin,5,3,0.6
1,Linchpin,25,9,0.36
2,Linchpin,27,14,0.5185
3,AWPer,27,25,0.9259
4,Opener,10,4,0.4
5,IGL,10,5,0.5
7,Opener,33,16,0.4848
