,importance
relative_team_centroid_distance,0.11574382428818258
awp_kill_share,0.10172625474419042
rifle_kill_share,0.09527358127695419
avg_distance_to_team_centroid,0.08546918739044718
avg_distance_to_enemy,0.0808042749823792
time_near_enemy_rate,0.07233093104652492
avg_distance_to_team_centroid_std,0.05315108468589348
avg_distance_to_closest_teammate,0.04604092066381248
first_contact_rate,0.04576877436170199
avg_distance_to_closest_teammate_std,0.04066918518337176
damage_per_round,0.028083995628497938
damage_taken_per_round,0.02125723574470506
assists_per_round,0.018639377331063967
damage_diff_per_round,0.01862701256096396
util_damage_per_round,0.015615848564379104
multi_kill_rate,0.013709375162669202
survival_rate,0.0127825259497649
fire_nades_per_round,0.011554108516554125
he_grenades_per_round,0.010194784749246585
opening_kill_rate,0.009137896494370103
relative_team_centroid_distance_std,0.008644213991952468
time_stationary_rate,0.008147788858475105
smokes_per_round,0.006998850073286824
impact_std,0.006899413721028869
avg_distance_to_enemy_std,0.006324739645689252
rating_std,0.0060928655768698005
avg_distance_moved_per_round,0.005869621616088729
grenades_per_round,0.005538298844326044
opening_duel_success,0.005387712942604935
adr_std,0.004689395171141879
time_near_enemy_rate_std,0.004678738778869583
first_contact_rate_std,0.004608724868960456
kast_std,0.0038851965737284324
avg_distance_moved_per_round_std,0.0033814874499570463
flash_assists_per_round,0.003344830274273349
trade_kill_rate,0.0032443439246143944
opening_death_rate,0.0032264317402773946
trade_participation,0.0031088553241568257
flashbangs_per_round,0.0028683574099614435
rounds_played,0.002439723105751986
time_stationary_rate_std,0.0022310655425100104
decoys_per_round,0.0011808992110422666
death_traded_rate,0.00048202997439404795
player_page,0.00014623605436571573
