feature,importance
awp_kill_share,0.1271054
damage_per_round,0.094739735
relative_team_centroid_distance,0.068986334
first_contact_received_rate,0.056260377
rifle_kill_share,0.044356916
opening_death_rate,0.040342316
opening_kill_rate,0.036066096
smokes_per_round,0.03408992
assists_per_round,0.032819163
avg_distance_to_closest_teammate,0.03275786
he_grenades_per_round,0.031309433
multi_kill_rate,0.030816484
kpr,0.02982183
avg_distance_to_enemy,0.024679728
opening_duel_success,0.022755884
fire_nades_per_round,0.02268894
adr_std,0.022607673
flashbangs_per_round,0.02175743
time_near_enemy_rate,0.0206469
survival_rate,0.018431105
impact_std,0.014855152
avg_distance_to_enemy_std,0.014213469
damage_taken_per_round,0.013337051
flash_assists_per_round,0.013012264
first_contact_rate,0.012944413
trade_kill_rate,0.012687575
avg_distance_to_team_centroid,0.0126517825
time_near_enemy_rate_std,0.011293361
util_damage_per_round,0.010829018
avg_distance_to_team_centroid_std,0.010789259
avg_distance_moved_per_round,0.009446559
relative_team_centroid_distance_std,0.0093320245
rating_std,0.007962366
kast_std,0.006090203
avg_distance_to_closest_teammate_std,0.0059743123
time_stationary_rate,0.005580258
avg_distance_moved_per_round_std,0.005376406
decoys_per_round,0.00421016
time_stationary_rate_std,0.0038369498
death_traded_rate,0.0025378298
