player_name,side,rounds_played,demo_count,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_attempt_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_received_rate,first_contact_participation_rate,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2,predicted_cluster
910,t,428,36,71.35747663551402,26.091873172286288,0.6892523364485982,0.3317757009345794,102.03271028037383,94.04205607476636,7.990654205607477,2.441588785046729,0.2383177570093458,0.1074766355140186,0.3084745762711864,0.2307692307692307,0.366822429906542,0.0677570093457943,0.0771028037383177,0.1448598130841121,0.4677419354838709,0.1705607476635514,0.4203389830508474,0.3932203389830508,2.4953271028037385,0.0794392523364486,1.2546728971962615,0.7757009345794392,0.3808411214953271,0.0046728971962616,2100.362734286194,106.8391176817084,499.472113302825,76.95578677377043,0.9112230305569914,0.0752068464606389,9234.6055334516,1594.2172288010647,366.6309191395042,64.28304085619358,0.3262280916649625,0.0717623556858381,0.0747663551401869,0.0771028037383177,0.1518691588785046,0.5712431836312934,0.0491099761097549,14.919184782251458,0.600003921363143,0.4817680454914286,3,4.941758177622197,2.5744234547762668,3
afro,t,321,30,63.4797507788162,23.68021598139648,0.5482866043613707,0.3644859813084112,90.98753894080996,94.63239875389408,-3.644859813084112,2.573208722741433,0.2087227414330218,0.0934579439252336,0.2727272727272727,0.1519607843137254,0.2461059190031152,0.0591900311526479,0.0654205607476635,0.1246105919003115,0.475,0.1214953271028037,0.3465909090909091,0.4943181818181818,2.5981308411214954,0.0841121495327102,1.2866043613707163,0.7476635514018691,0.4797507788161994,0.0,2090.8783630232965,87.61231750882988,495.9545057065755,92.5215428684124,0.891094716937571,0.0840511096288956,8213.348595234893,1250.76641293217,372.0564385681686,74.10234343069835,0.3435489196090379,0.0674018616046585,0.0809968847352024,0.0809968847352024,0.1619937694704049,0.6010848746687836,0.0496397455864662,21.70995551838238,0.6071260518457579,0.5307290914097529,2,4.936029232220769,0.8587839194398774,2
aleksib,t,282,29,53.01418439716312,18.29379511529177,0.4078014184397163,0.3226950354609929,64.30141843971631,93.79078014184395,-29.48936170212766,4.418439716312057,0.226950354609929,0.0531914893617021,0.3304347826086956,0.3193717277486911,0.351063829787234,0.0390070921985815,0.0921985815602836,0.1312056737588652,0.2972972972972973,0.0886524822695035,0.7043478260869566,0.0,3.1382978723404253,0.351063829787234,1.0,1.0886524822695036,0.6808510638297872,0.0177304964539007,2078.031301974012,98.48302658478238,529.7501528502106,89.68961198799134,0.9249428104830392,0.0838343212552009,9594.294000708667,1434.7275091382198,407.88095490399417,70.79604770782944,0.3511909217176204,0.0637315057244772,0.0390070921985815,0.1099290780141844,0.1489361702127659,0.5495719915974115,0.0489539940200317,17.25425136580775,0.4899685735845523,0.3727322947577557,1,2.981961875171132,-2.503040440894553,1
alex,t,138,13,65.89855072463769,18.47006160553141,0.5869565217391305,0.2463768115942029,77.89855072463769,105.34782608695652,-27.44927536231884,4.949275362318841,0.2101449275362318,0.036231884057971,0.382716049382716,0.2596153846153846,0.4202898550724637,0.0579710144927536,0.0797101449275362,0.1376811594202898,0.4210526315789473,0.1231884057971014,0.7777777777777778,0.0123456790123456,2.710144927536232,0.3405797101449275,0.6811594202898551,1.0579710144927537,0.6304347826086957,0.0,2041.6511520647264,138.2805066146407,478.3875463749369,79.69383362008092,0.9263147167362342,0.0610288008858409,9167.323470778552,1302.6083092619606,337.1041372829397,67.34411219915151,0.3929869611810065,0.0891984293755966,0.0797101449275362,0.0797101449275362,0.1594202898550724,0.5589974228098149,0.0504388006899238,16.782633926341052,0.4912738552187414,0.3677303946458692,1,1.5218513435303662,-1.5304934679379836,1
alex666,t,438,40,62.25799086757991,22.46381024532298,0.54337899543379,0.2534246575342466,79.42237442922375,102.95890410958904,-23.53652968036529,2.920091324200913,0.2009132420091324,0.0273972602739726,0.2941176470588235,0.2079510703363914,0.3150684931506849,0.0707762557077625,0.1118721461187214,0.182648401826484,0.3875,0.1278538812785388,0.7857142857142857,0.0042016806722689,2.490867579908676,0.2968036529680365,0.7191780821917808,0.9155251141552512,0.5593607305936074,0.0,2112.36815813152,97.4418125920732,567.5566646144762,81.22529288513459,1.018362261301911,0.0984844931551088,8814.158751077384,1237.8679322868068,429.1573579936618,88.11897432123037,0.3262964825807971,0.0539004656450965,0.0753424657534246,0.1027397260273972,0.1780821917808219,0.5666902409767316,0.0474729450014146,16.313449507042343,0.5032274524408333,0.4148798739509611,1,0.8924306993713143,-0.5606139830791016,1
apex,t,286,27,66.18531468531468,17.860471831973044,0.541958041958042,0.2552447552447552,84.31818181818181,108.87762237762236,-24.55944055944056,4.055944055944056,0.2727272727272727,0.0804195804195804,0.2709677419354839,0.2347417840375587,0.3216783216783216,0.1118881118881118,0.1678321678321678,0.2797202797202797,0.4,0.1363636363636363,0.7483870967741936,0.0129032258064516,2.5524475524475525,0.1678321678321678,1.2482517482517483,0.5979020979020979,0.5314685314685315,0.0069930069930069,2061.7836804771373,153.0759015962414,599.8831940147113,94.215913226283,0.994463031188604,0.1146122310221678,9158.75147193562,1647.4107918678335,454.1331287504378,79.07068706853579,0.3518154585778764,0.082804591022871,0.1223776223776223,0.1433566433566433,0.2657342657342657,0.5837990446745445,0.0509798040131784,15.387718029405663,0.4553884139158952,0.3593901389001371,1,-0.0533262796339776,-0.2385653288683527,0
art,t,436,45,64.02981651376147,24.10215824342988,0.4908256880733945,0.2385321100917431,77.83944954128441,106.76605504587155,-28.926605504587155,4.252293577981652,0.2844036697247706,0.0481651376146789,0.2803738317757009,0.3283132530120481,0.3876146788990826,0.1169724770642201,0.1444954128440367,0.2614678899082568,0.4473684210526316,0.0825688073394495,0.7336448598130841,0.0186915887850467,2.532110091743119,0.2935779816513761,0.9151376146788992,0.7752293577981652,0.5389908256880734,0.0091743119266055,2034.861637094434,114.4256753112399,527.6333821860204,109.06311934067628,0.9826622749798124,0.0845282777745014,8713.014221779864,1447.1323037398672,382.7552734208468,101.33701813167816,0.4165553536701377,0.0687741931663016,0.1238532110091743,0.1490825688073394,0.2729357798165137,0.5894626136752837,0.0481945742680863,12.063246131224266,0.5412881118794504,0.3768737224841053,0,-0.7633070334215025,-1.795586832160017,0
aw,t,220,18,71.41818181818182,21.329743412744595,0.6181818181818182,0.2409090909090909,92.2909090909091,106.38181818181818,-14.090909090909092,3.654545454545455,0.1818181818181818,0.0272727272727272,0.2794117647058823,0.1916167664670658,0.3181818181818182,0.059090909090909,0.1363636363636363,0.1954545454545454,0.3023255813953488,0.1681818181818181,0.7867647058823529,0.0073529411764705,2.713636363636364,0.3090909090909091,0.8318181818181818,0.8181818181818182,0.7545454545454545,0.0,2057.1109447674858,118.09078056531548,579.3564187893535,81.13462022512657,0.9206132409333396,0.1209795402502856,9522.442488832148,1424.7765271046092,436.5417778760518,53.192465921871246,0.3327330945593878,0.0613597011056193,0.0818181818181818,0.0909090909090909,0.1727272727272727,0.5857589359928915,0.055362950134003,16.50715680834576,0.6952779329686796,0.4973323855141884,0,-0.2603893429894742,0.2105473532635247,4
azuwu,t,321,30,65.02803738317758,25.708709391173063,0.5794392523364486,0.2679127725856697,81.69470404984423,102.33333333333331,-20.63862928348909,4.133956386292835,0.1619937694704049,0.0186915887850467,0.2526881720430107,0.2638297872340425,0.3395638629283489,0.1277258566978193,0.1775700934579439,0.3052959501557632,0.4183673469387755,0.1308411214953271,0.7419354838709677,0.021505376344086,1.806853582554517,0.2367601246105919,0.4859813084112149,0.5389408099688473,0.5389408099688473,0.0062305295950155,1972.6326382696795,116.93713253424102,558.6040168391897,102.10984336574155,0.9681315383576062,0.0920093533853271,7938.8074295163315,1304.093167960164,394.05829670261664,89.79361767652719,0.4367641828308804,0.0864200736308493,0.0965732087227414,0.1744548286604361,0.2710280373831775,0.6081562068589379,0.0559286503372933,17.754027980873136,0.5222311785235005,0.4574676771428825,0,-2.7395937744555394,-1.1865351722791748,0
b1t,t,284,30,80.10211267605634,26.02708022462635,0.7007042253521126,0.3345070422535211,101.12676056338027,93.03169014084509,8.095070422535212,3.2007042253521125,0.2147887323943662,0.0352112676056338,0.2964824120603015,0.2857142857142857,0.397887323943662,0.0809859154929577,0.0880281690140845,0.1690140845070422,0.4791666666666667,0.1549295774647887,0.8140703517587939,0.0,1.97887323943662,0.2429577464788732,0.6619718309859155,0.6232394366197183,0.4366197183098591,0.0140845070422535,2137.660188857209,141.37293785248866,671.5210884946662,131.6292404861786,1.118295239568698,0.1403322574864971,9650.297445720858,1698.806897162432,483.02875510720514,122.61750059458714,0.327903971190335,0.0736990095456373,0.0915492957746478,0.102112676056338,0.1936619718309859,0.5299265257316944,0.0711701146217259,13.021847509321274,0.5870590412737322,0.4446426308349979,4,-0.7643548644016958,5.088545532550546,4
