feature,importance
awp_kill_share,0.15855931
rifle_kill_share,0.103257634
survival_rate,0.07765954
relative_team_centroid_distance,0.054376006
avg_distance_to_team_centroid,0.047246996
adr,0.04703376
avg_distance_to_enemy,0.046556715
avg_distance_to_team_centroid_std,0.032168772
grenades_per_round,0.028920777
flashbangs_per_round,0.028692128
avg_distance_to_closest_teammate_std,0.025055246
time_near_enemy_rate,0.024768883
damage_per_round,0.023590015
kpr,0.018481765
damage_taken_per_round,0.018073963
avg_distance_to_closest_teammate,0.017675562
assists_per_round,0.015046854
flash_assists_per_round,0.014447694
avg_distance_moved_per_round,0.01346541
first_contact_rate,0.012678879
he_grenades_per_round,0.0126111815
decoys_per_round,0.012155657
time_stationary_rate,0.011507379
opening_death_rate,0.010940359
opening_kill_rate,0.010683936
adr_std,0.010180467
damage_diff_per_round,0.010153846
rating_std,0.009569929
kast_std,0.009177639
util_damage_per_round,0.007983005
time_stationary_rate_std,0.007439852
smokes_per_round,0.0072124456
avg_distance_to_enemy_std,0.0069051883
relative_team_centroid_distance_std,0.0065591307
trade_kill_rate,0.0065440163
opening_duel_success,0.006228404
fire_nades_per_round,0.005779458
death_traded_rate,0.005661301
rounds_played,0.0054613096
time_near_enemy_rate_std,0.0053121354
trade_participation,0.0052667307
multi_kill_rate,0.0051241373
avg_distance_moved_per_round_std,0.0051022545
first_contact_rate_std,0.004636573
impact_std,0.004047842
