feature,importance
awp_kill_share,0.13247308
relative_team_centroid_distance,0.09180207
avg_distance_to_enemy,0.08581492
avg_distance_moved_per_round,0.044370506
adr,0.04337397
first_contact_rate,0.043088533
smokes_per_round,0.04068665
avg_distance_to_team_centroid,0.03945036
grenades_per_round,0.034763232
damage_taken_per_round,0.03148154
survival_rate,0.022987349
avg_distance_to_closest_teammate,0.02166123
avg_distance_to_team_centroid_std,0.021639284
flash_assists_per_round,0.021469124
damage_diff_per_round,0.02017683
kpr,0.019265654
trade_participation,0.018188892
opening_duel_success,0.017766347
rifle_kill_share,0.016859863
death_traded_rate,0.015983619
rounds_played,0.015582916
opening_kill_rate,0.014860151
first_contact_rate_std,0.014564528
relative_team_centroid_distance_std,0.0137363095
opening_death_rate,0.011320636
flashbangs_per_round,0.0112781115
damage_per_round,0.010607222
avg_distance_to_closest_teammate_std,0.010191976
rating_std,0.009652562
util_damage_per_round,0.009542886
he_grenades_per_round,0.00944306
adr_std,0.008953112
decoys_per_round,0.008571792
time_stationary_rate_std,0.008442743
multi_kill_rate,0.0073859133
fire_nades_per_round,0.0072022732
kast_std,0.0071479897
time_near_enemy_rate_std,0.0065274145
assists_per_round,0.0054286756
trade_kill_rate,0.0053392965
impact_std,0.0052719316
time_near_enemy_rate,0.005255202
avg_distance_moved_per_round_std,0.003979096
time_stationary_rate,0.0034847555
avg_distance_to_enemy_std,0.0029264085
