player_name,side,rounds_played,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_rate_std,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std,cluster,pc1,pc2,predicted_cluster
910,t,428,71.35747663551402,28.211803024242755,0.6939252336448598,0.3271028037383177,102.83411214953271,95.4929906542056,7.341121495327103,2.6682242990654204,0.2406542056074766,0.1074766355140186,0.3063973063973064,0.2291666666666666,0.366822429906542,0.101010101010101,0.1180555555555555,0.46875,0.1705607476635514,0.4208754208754209,0.3905723905723905,2.4953271028037385,0.0794392523364486,1.2546728971962615,0.7757009345794392,0.3808411214953271,0.0046728971962616,2100.3627342861987,111.99882572113614,499.472113302824,84.56332834700805,0.9112230305569928,0.0775251434864413,9234.6055334516,1766.674671893322,366.6309191395039,66.50962349857836,0.3262280916649625,0.0804442805866616,0.1457856456919716,0.0446984605024024,0.5712431836312934,0.0603295367333184,15.930240808057698,0.6117586890684868,0.502944470939448,2,-5.9556736130191394,2.34030107144208,2
afro,t,321,63.4797507788162,28.00583772669403,0.5482866043613707,0.35202492211838,91.49844236760124,100.1246105919003,-8.626168224299066,2.741433021806853,0.2087227414330218,0.0934579439252336,0.2727272727272727,0.1490384615384615,0.2461059190031152,0.1079545454545454,0.1009615384615384,0.475,0.1214953271028037,0.3465909090909091,0.4943181818181818,2.5981308411214954,0.0841121495327102,1.2866043613707163,0.7476635514018691,0.4797507788161994,0.0,2090.878363023296,94.7621825597838,495.954505706576,97.7706975119242,0.8910947169375687,0.0892707848658593,8213.348595234893,1300.3201360595515,372.056438568168,75.80274310090525,0.3435489196090379,0.0767250357998655,0.1359306311606712,0.0491902239626568,0.6010848746687836,0.0564512345945658,23.22719140856247,0.6541877004527235,0.5708662066728039,2,-5.338511747410987,0.2103809310649899,2
aleks,t,52,49.94230769230769,15.571913522131464,0.2692307692307692,0.0769230769230769,58.90384615384615,131.21153846153845,-72.3076923076923,3.1153846153846154,0.173076923076923,0.0,0.0,0.0,0.0,0.0714285714285714,0.1875,0.1,0.0384615384615384,0.6428571428571429,0.0,2.076923076923077,0.4230769230769231,0.5961538461538461,0.5769230769230769,0.4423076923076923,0.0384615384615384,2134.9070437255123,233.1993660396704,463.62464262468296,86.75936820614233,0.9748139196535736,0.1182734408007074,7207.398105340854,1173.3914245954245,352.3829893799838,102.66041653530594,0.388269953892726,0.0875138622796216,0.188643345997092,0.06855319819773,0.6176919420251404,0.0258554038890464,29.46679081863011,0.3182767428418445,0.3362645463019306,0,2.1989177691575224,-7.326745050276517,0
aleksib,t,282,53.01418439716312,20.45837316630817,0.4148936170212766,0.3085106382978723,64.78014184397163,98.65957446808513,-33.87943262411348,4.783687943262412,0.226950354609929,0.0531914893617021,0.0,0.0,0.0,0.094017094017094,0.1333333333333333,0.2972972972972973,0.0921985815602836,0.6923076923076923,0.0,3.1382978723404253,0.351063829787234,1.0,1.0886524822695036,0.6808510638297872,0.0177304964539007,2078.031301974008,121.93699749923208,529.7501528502128,95.69044223829164,0.9249428104830394,0.0886362768318601,9594.294000708667,1652.6876501131785,407.8809549039938,70.80733533929765,0.3511909217176204,0.0631843530789262,0.1696246488117287,0.0628465031997867,0.5495719915974115,0.0530299440995524,18.994373975279974,0.6247318489854907,0.4570765941083354,5,-2.413138225684539,-0.7304108935198874,5
alex,t,138,65.89855072463769,20.95683556924232,0.5942028985507246,0.2318840579710145,78.89855072463769,108.55072463768116,-29.65217391304348,5.579710144927536,0.2101449275362318,0.036231884057971,0.3780487804878049,0.2547169811320754,0.4202898550724637,0.0975609756097561,0.1037735849056603,0.4210526315789473,0.1304347826086956,0.7682926829268293,0.0121951219512195,2.710144927536232,0.3405797101449275,0.6811594202898551,1.0579710144927537,0.6304347826086957,0.0,2041.6511520647173,143.3518701325114,478.387546374936,86.31917716739439,0.926314716736233,0.0649493057573265,9167.323470778552,1448.104064631413,337.10413728293844,83.19944310972376,0.3929869611810065,0.0902876716466033,0.1727620675869659,0.0531037780091858,0.5589974228098149,0.0548523985699027,18.54704058093522,0.5253956622431613,0.3932351499005386,5,-1.6837797939985053,-0.3918106434300881,5
alex666,t,438,62.25799086757991,21.693411564483267,0.54337899543379,0.2465753424657534,80.01141552511416,105.17123287671232,-25.15981735159817,3.410958904109589,0.2009132420091324,0.0273972602739726,0.2941176470588235,0.206060606060606,0.3150684931506849,0.1302521008403361,0.1484848484848485,0.3875,0.1278538812785388,0.7857142857142857,0.0042016806722689,2.490867579908676,0.2968036529680365,0.7191780821917808,0.9155251141552512,0.5593607305936074,0.0,2112.3681581315186,112.35817335672,567.5566646144792,82.515743906658,1.01836226130191,0.1110542538675951,8814.158751077384,1490.3632768179473,429.1573579936626,90.96179461936492,0.3262964825807971,0.0555447418890913,0.1575648755163957,0.049799194663697,0.5666902409767316,0.0565129862539441,18.328683267962138,0.5195261567227032,0.4307007857897771,5,-1.4129419558414071,0.2191657608850415,5
alistair,t,56,60.285714285714285,29.614009916479283,0.4285714285714285,0.1785714285714285,77.58928571428571,114.14285714285714,-36.55357142857143,4.107142857142857,0.3392857142857143,0.1071428571428571,0.0,0.0,0.0,0.1666666666666666,0.1956521739130435,0.3076923076923077,0.1071428571428571,0.2083333333333333,0.5416666666666666,2.767857142857143,0.0892857142857142,1.4642857142857142,0.7678571428571429,0.4464285714285714,0.0,2193.6457344832784,109.33841586267914,550.6383848064731,139.1879248640085,1.0107673702888946,0.0651559302571055,8299.90811802624,585.3362026864334,425.6869301814973,93.2152660822304,0.3162770580480813,0.0406149927528966,0.163174895210839,0.025926570252532,0.6172846243670754,0.0312103883096644,16.244657241348268,0.508160284752754,0.4616991693430186,2,-4.55964943567093,-2.636958954876122,2
apex,t,286,66.18531468531468,19.44681333822321,0.5454545454545454,0.2482517482517482,84.81468531468532,110.2972027972028,-25.482517482517483,4.398601398601398,0.2727272727272727,0.0804195804195804,0.0,0.0,0.0,0.2051282051282051,0.2232558139534883,0.4,0.1363636363636363,0.7435897435897436,0.0128205128205128,2.5524475524475525,0.1678321678321678,1.2482517482517483,0.5979020979020979,0.5314685314685315,0.0069930069930069,2061.78368047714,156.31661755213102,599.88319401471,94.78774915385652,0.9944630311886036,0.1123002954704014,9158.75147193562,1649.9925759815894,454.133128750438,79.66213050620466,0.3518154585778764,0.0822543742890455,0.2033408467096076,0.0555003439273088,0.5837990446745445,0.0534216307285389,17.071909216816586,0.4830428964533142,0.38656684922337,5,-0.6567621799653204,-0.0101934542214718,5
art,t,436,64.02981651376147,28.79854181009313,0.5,0.2201834862385321,78.5045871559633,112.13073394495412,-33.62614678899082,4.88302752293578,0.2844036697247706,0.0481651376146789,0.0,0.0,0.0,0.2385321100917431,0.188235294117647,0.4482758620689655,0.0871559633027523,0.7201834862385321,0.018348623853211,2.532110091743119,0.2935779816513761,0.9151376146788992,0.7752293577981652,0.5389908256880734,0.0091743119266055,2034.8616370944333,144.97881244986274,527.6333821860217,111.22183041884196,0.9826622749798124,0.1097078396609242,8713.014221779864,1441.0846913438872,382.75527342084695,100.04409960684715,0.4165553536701377,0.1004904873785368,0.2256934991258861,0.0771633417447685,0.5894626136752837,0.062842657718391,14.868588861392466,0.635669583690081,0.425734534833466,1,1.055798052150276,-0.9600225693824048,1
asap,t,56,77.625,16.564939547798602,0.6607142857142857,0.2142857142857142,99.5,115.41071428571428,-15.910714285714286,4.982142857142857,0.3392857142857143,0.0535714285714285,0.4054054054054054,0.3636363636363636,0.5535714285714286,0.1891891891891892,0.2045454545454545,0.4375,0.1428571428571428,0.5945945945945946,0.027027027027027,1.4642857142857142,0.1071428571428571,0.4107142857142857,0.5178571428571429,0.3928571428571428,0.0357142857142857,2094.0991523980474,136.52021439590595,559.7280158648076,159.64937773846762,1.0160539755754907,0.0821369875750302,7749.444890578356,1666.4092297322345,382.7756218040869,131.27641538725047,0.443793814070411,0.0633433178456286,0.2555585950265926,0.0352847269595104,0.6146594236507598,0.0518501672556701,20.412414523193146,0.5764888333697366,0.5088742392801213,3,1.1937733298468391,0.2440037821631409,3
