feature,importance
awp_kill_share,0.12543237
avg_distance_to_enemy,0.043953914
relative_team_centroid_distance,0.04374121
avg_distance_moved_per_round,0.03999394
avg_distance_to_enemy_std,0.03981565
rifle_kill_share,0.03981168
avg_distance_to_team_centroid,0.036353543
avg_distance_to_closest_teammate,0.035691887
grenades_per_round,0.035461914
opening_kill_rate,0.034630522
rounds_played,0.029824017
smokes_per_round,0.029686736
he_grenades_per_round,0.029262377
first_contact_rate,0.02800247
time_near_enemy_rate,0.02521818
flashbangs_per_round,0.024758514
avg_distance_to_closest_teammate_std,0.024671728
opening_duel_success,0.023534894
survival_rate,0.023488881
damage_taken_per_round,0.022913277
damage_per_round,0.01985636
adr,0.019055089
fire_nades_per_round,0.017813377
relative_team_centroid_distance_std,0.013710122
avg_distance_to_team_centroid_std,0.013126205
adr_std,0.012970628
trade_participation,0.012570331
util_damage_per_round,0.012437311
opening_death_rate,0.012410531
death_traded_rate,0.011994738
trade_kill_rate,0.011264187
assists_per_round,0.011164433
avg_distance_moved_per_round_std,0.009778618
time_stationary_rate,0.009097475
kpr,0.008926879
first_contact_rate_std,0.0081331385
kast_std,0.0076080547
multi_kill_rate,0.007504747
impact_std,0.0073396456
damage_diff_per_round,0.0073146517
decoys_per_round,0.007010792
rating_std,0.0068084816
flash_assists_per_round,0.005843339
time_near_enemy_rate_std,0.0053337784
time_stationary_rate_std,0.0046793
