feature,importance
awp_kill_share,0.13703895
smokes_per_round,0.07091186
rating_std,0.06100168
death_traded_rate,0.049401492
adr_std,0.042951018
survival_rate,0.042293884
avg_distance_to_closest_teammate,0.03823795
first_contact_rate,0.0370817
trade_participation,0.035686526
rounds_played,0.0338965
relative_team_centroid_distance,0.03378754
grenades_per_round,0.029796397
avg_distance_moved_per_round,0.028618094
avg_distance_to_team_centroid,0.027543643
trade_kill_rate,0.026803879
kpr,0.024267005
first_contact_rate_std,0.020204723
flashbangs_per_round,0.019846814
damage_taken_per_round,0.017958073
relative_team_centroid_distance_std,0.017763034
adr,0.016811153
damage_per_round,0.014504433
multi_kill_rate,0.012733157
he_grenades_per_round,0.012350678
opening_kill_rate,0.011651352
flash_assists_per_round,0.011508309
damage_diff_per_round,0.010548794
opening_duel_success,0.010136164
time_stationary_rate,0.009902412
impact_std,0.009727547
time_near_enemy_rate,0.008592046
rifle_kill_share,0.008135869
avg_distance_to_enemy_std,0.00708537
avg_distance_to_enemy,0.006564632
avg_distance_to_team_centroid_std,0.006214289
assists_per_round,0.0060456847
opening_death_rate,0.00588484
avg_distance_to_closest_teammate_std,0.005861294
time_near_enemy_rate_std,0.005791773
util_damage_per_round,0.0055857413
kast_std,0.0051609846
time_stationary_rate_std,0.004678182
fire_nades_per_round,0.0038223239
avg_distance_moved_per_round_std,0.0034556156
decoys_per_round,0.0021565885
