cluster,n_players,players,adr_std_mean,kpr_mean,survival_rate_mean,damage_per_round_mean,damage_taken_per_round_mean,damage_diff_per_round_mean,util_damage_per_round_mean,opening_kill_rate_mean,opening_death_rate_mean,opening_duel_success_mean,multi_kill_rate_mean,rifle_kill_share_mean,awp_kill_share_mean,grenades_per_round_mean,he_grenades_per_round_mean,flashbangs_per_round_mean,smokes_per_round_mean,fire_nades_per_round_mean,decoys_per_round_mean,avg_distance_to_enemy_mean,avg_distance_to_enemy_std_mean,avg_distance_to_team_centroid_mean,avg_distance_to_team_centroid_std_mean,relative_team_centroid_distance_mean,relative_team_centroid_distance_std_mean,avg_distance_moved_per_round_mean,avg_distance_moved_per_round_std_mean,avg_distance_to_closest_teammate_mean,avg_distance_to_closest_teammate_std_mean,time_near_enemy_rate_mean,time_near_enemy_rate_std_mean,first_contact_rate_mean,first_contact_rate_std_mean,time_stationary_rate_mean,time_stationary_rate_std_mean,kast_std_mean,impact_std_mean,rating_std_mean
0,90,"aleks, aleksib, alex666, b1t, bart4k, beastik, belchonokk, brnz4n, brollan, bymas, c4llm3su3, cairne, chr1zn, cobrazera, crepow, d1ledez, daps, dem0n, dexter, dziugss, emiliaqaq, esenthial, ex3rcice, fallen, faven, fer, fl4mus, flashie, gafolo, gizmy, heavygod, hooxi, huasopeek, jba, jks, jl, jt, karrigan, kisserek, koala, krazy, liazz, lnz, luken, magixx, maj3r, masval, matys, max, mercury, mezii, misutaaa, mzinho, n1ssim, naf, nealan, neityu, nekiz, nicx, nitr0, piriajr, rainwaker, ropz, ryu, s1n, s1ren, sausol, scrunk, sdy, shock, sjuush, snax, soulfly, starry, susp, tabsen, tauson, techno4k, teses, tjp, tn1r, v$m, xeedo, xelex, xerolte, yuurih, zero, zero , zont1x, zweih",26.40642924333661,0.6504645508411777,0.38824565444825676,90.38755465850691,87.23965090763662,3.147903750870292,5.3554030009672635,0.1445505025543708,0.13266700752391428,0.5403810914764126,0.15199040333918523,0.7071176749628111,0.012343664175191312,2.2552157593393365,0.5062763554887363,0.5025490631563674,0.6722284692924884,0.5730836320714487,0.0010782393302957633,2084.7472715322006,158.1870156346658,818.5845546105356,200.2146483882331,1.0656733417351205,0.14832581973136258,8767.124071356175,1380.8349974630648,568.8505729540525,123.89548288500885,0.3293527771680737,0.08721367130585021,0.2025354289607302,0.07100035304965734,0.5836158118887449,0.055401213199843875,15.224264580111024,0.6452926685165479,0.45886544764586984
1,84,"alex, apex, art, asap, aw, azuwu, biguzera, blamef, blitz, boombl4, br0, controlez, corn, dav1g, dgt, doc, donk, dumau, electronic, elige, fame, flamez, frozen, graviti, grim, hen1, hunter-, im, ins, insani, jabbi, jamyoung, jcobbb, jdc, jota, kensizor, krabeni, kscerato, kvem, kyousuke, lake, latto, launx, luchov, lucky, magnojez, makazze, malbsmd, mopoz, moseyuh, nertz, nettik, niko, nilo, nota, npl, pr, qw1nk1, rdnzao, rez, senzu, sfade8, siuhy, sk0r, snappi, snow, sonic, spinx, staehr, stressarn, swisher, tenzy, twistzz, venomzera, vexite, westmelon, wicadia, x5g7v, xantares, xertion, xfl0ud, xielo, xkacpersky, yekindar",29.622988482266724,0.7578373993133297,0.37374526193196955,104.48254837800462,91.0738492755082,13.408699102496444,7.118355779930117,0.17057188285826913,0.13846815663675485,0.5959478013886811,0.19014678543014002,0.7436917406173917,0.013762904082090757,2.3106793691507823,0.5870578741821457,0.5305006760273349,0.6322947570882951,0.5600573005963135,0.0007687612566930036,2010.8814319416906,153.89312613790497,688.8100070379817,149.24569520550986,0.9420021425121952,0.12616196510980066,8872.708046810221,1395.3243976715153,510.7417781647546,92.06241510243038,0.35752522796048297,0.09226378225519033,0.2220813462700652,0.07351947115748136,0.5791187846308814,0.05765980207713009,14.886271680669385,0.7164903501990997,0.5035340272693511
2,41,"910, afro, alistair, broky, cmtry, gr1ks, hypex, jame, jee, kashl1d, kl1m, m0nesy, maka, martinezsa, maxxkor, meyern, mo0n, modo, molodoy, nin9, osee, phzy, s1mple, s1zzi, saadzin, saffee, sh1ro, slaxz-, stavn, story, sunpayus, th0r, torzsi, try, ultimate, w0nderful, woxic, yxngstxr, z4kr, zorte, zywoo",26.545443758403735,0.7633352818976542,0.4512778281117882,112.37470778640198,81.16058510355376,31.21412268284825,4.394217901144822,0.1895512829969914,0.12395005111759651,0.6779586687564103,0.18640652111177844,0.21591914055227898,0.5539044328072296,1.8864272327525846,0.4081072684080319,0.5615412954125906,0.5223647226699529,0.39087542048399915,0.0035385257780102364,2128.570623473178,117.95831451973596,721.222078260491,112.32672534060112,0.984343374074115,0.10956530018202693,8614.102811184724,1341.6391554390134,548.3545186008329,79.46116222269677,0.2654714116118219,0.07340550722462315,0.1497485414024736,0.06068580963489292,0.6109184444768159,0.05553249183150089,16.29934558373048,0.6796604661667937,0.49705657574076617
