cluster,n_players,players,adr_std_mean,kpr_mean,survival_rate_mean,damage_per_round_mean,damage_taken_per_round_mean,damage_diff_per_round_mean,util_damage_per_round_mean,assists_per_round_mean,flash_assists_per_round_mean,trade_kill_rate_mean,death_traded_rate_mean,trade_participation_mean,opening_kill_rate_mean,opening_death_rate_mean,opening_duel_success_mean,multi_kill_rate_mean,rifle_kill_share_mean,awp_kill_share_mean,grenades_per_round_mean,he_grenades_per_round_mean,flashbangs_per_round_mean,smokes_per_round_mean,fire_nades_per_round_mean,decoys_per_round_mean,avg_distance_to_enemy_std_mean,avg_distance_to_team_centroid_std_mean,relative_team_centroid_distance_std_mean,avg_distance_moved_per_round_std_mean,avg_distance_to_closest_teammate_std_mean,time_near_enemy_rate_mean,time_near_enemy_rate_std_mean,first_contact_rate_mean,first_contact_rate_std_mean,time_stationary_rate_std_mean,kast_std_mean,impact_std_mean,rating_std_mean
0,41,"910, afro, alistair, broky, cmtry, gr1ks, hypex, jame, jee, kashl1d, kl1m, m0nesy, maka, martinezsa, maxxkor, meyern, mo0n, modo, molodoy, nin9, osee, phzy, s1mple, s1zzi, saadzin, saffee, sh1ro, slaxz-, stavn, story, sunpayus, th0r, torzsi, try, ultimate, w0nderful, woxic, yxngstxr, z4kr, zorte, zywoo",26.545443758403735,0.7633352818976542,0.4512778281117882,112.37470778640198,81.16058510355376,31.21412268284825,4.394217901144822,0.18053115454860522,0.04625069535185125,0.13761413032327374,0.1560343678147558,0.1898045457236923,0.1895512829969914,0.12395005111759651,0.6779586687564103,0.18640652111177844,0.21591914055227898,0.5539044328072296,1.8864272327525846,0.4081072684080319,0.5615412954125906,0.5223647226699529,0.39087542048399915,0.0035385257780102364,117.95831451973596,112.32672534060112,0.10956530018202693,1341.6391554390134,79.46116222269677,0.2654714116118219,0.07340550722462315,0.1497485414024736,0.06068580963489292,0.05553249183150089,16.29934558373048,0.6796604661667937,0.49705657574076617
1,47,"aleksib, alex, apex, asap, aw, b1t, biguzera, blamef, blitz, boombl4, donk, dumau, hunter-, ins, insani, jamyoung, jks, jl, jt, krabeni, kscerato, kvem, latto, luchov, lucky, magixx, magnojez, makazze, masval, mopoz, mzinho, niko, pr, s1n, sausol, sfade8, sonic, staehr, swisher, tabsen, twistzz, vexite, westmelon, x5g7v, xertion, xfl0ud, yekindar",27.666349506341252,0.7718984629909141,0.40177330959115304,107.34908920154929,87.60012069926422,19.748968502285084,8.877633598201166,0.290042855501061,0.03964523929080588,0.06620599291391632,0.0914148671251917,0.10654462223315435,0.1653586419468934,0.1431240296314263,0.5943821649728755,0.196278448967699,0.7530332566929764,0.011667940701904918,2.6326890813826886,0.6783529076980409,0.6337670654523188,0.6946132890128416,0.6250162469768349,0.000939572242652483,148.8650278237492,148.1655392200138,0.12801066276925963,1440.1870285771527,93.58217423542587,0.34082550987652344,0.07936427243859172,0.20948460906756308,0.06583090774976622,0.05623270826272091,14.386241814702492,0.6752149487524303,0.4760360605778071
2,61,"alex666, beastik, br0, brnz4n, cairne, cobrazera, controlez, corn, crepow, daps, dav1g, dem0n, dexter, dgt, dziugss, electronic, esenthial, fame, fer, flashie, frozen, gafolo, jabbi, jcobbb, karrigan, kensizor, kisserek, koala, krazy, kyousuke, max, mezii, misutaaa, n1ssim, nealan, nettik, nicx, nilo, nitr0, nota, npl, piriajr, qw1nk1, rdnzao, ropz, ryu, sdy, siuhy, sjuush, snow, soulfly, susp, tenzy, v$m, venomzera, xeedo, xelex, xerolte, yuurih, zont1x, zweih",26.76575247512415,0.6670115570834944,0.3755563428689137,91.5523807515549,88.76808052010684,2.784300231448056,4.9121604591533,0.22388527130399347,0.027909762762335078,0.20180610520198597,0.2495542278626608,0.29060741214341596,0.1497288674229017,0.13787036475963405,0.5367282553246652,0.15701750049660126,0.7152059534018284,0.012003268339699892,2.0815678488436635,0.47479201766510104,0.44841225791837086,0.6259128098433047,0.5308140040132102,0.0016367594036773771,147.98164557038862,174.89472132512032,0.13726929728447382,1279.8360457425424,109.64989321405899,0.34396778557203217,0.0870496131835186,0.21111515445313248,0.07280123590613301,0.05407918920710895,14.824311416130943,0.6441663230241066,0.4699122857889231
3,66,"aleks, art, azuwu, bart4k, belchonokk, brollan, bymas, c4llm3su3, chr1zn, d1ledez, doc, elige, emiliaqaq, ex3rcice, fallen, faven, fl4mus, flamez, gizmy, graviti, grim, heavygod, hen1, hooxi, huasopeek, im, jba, jdc, jota, lake, launx, liazz, lnz, luken, maj3r, malbsmd, matys, mercury, moseyuh, naf, neityu, nekiz, nertz, rainwaker, rez, s1ren, scrunk, senzu, shock, sk0r, snappi, snax, spinx, starry, stressarn, tauson, techno4k, teses, tjp, tn1r, wicadia, xantares, xielo, xkacpersky, zero, zero ",29.270914191364966,0.6853517935660541,0.37188527934606996,95.17138734394462,90.45020206421283,4.7211852797317775,5.500569522384507,0.2269273178919941,0.02548084237262121,0.002635046113306982,0.0036954915003695487,0.0044709388971684045,0.15806464099525736,0.12779445744886334,0.5760231548635852,0.16436835825581667,0.7134934960065529,0.014945774802297227,2.2174918143144864,0.5156489952410218,0.4947162524407513,0.6482699370862969,0.5585897315727829,0.0002668979736340045,168.79268659384886,195.81209709137607,0.14480303879602693,1450.357727919119,118.13379777473233,0.3435308365108582,0.09938243815384944,0.2145336461414341,0.0762233226846132,0.0589055262497477,15.760519268351752,0.7156406255663478,0.49327885300715996
