player_name,side,rounds_played,demo_count,adr,adr_std,kpr,survival_rate,damage_per_round,damage_taken_per_round,damage_diff_per_round,util_damage_per_round,assists_per_round,flash_assists_per_round,trade_kill_rate,death_traded_rate,trade_participation,opening_kill_rate,opening_death_rate,opening_duel_attempt_rate,opening_duel_success,multi_kill_rate,rifle_kill_share,awp_kill_share,grenades_per_round,he_grenades_per_round,flashbangs_per_round,smokes_per_round,fire_nades_per_round,decoys_per_round,avg_distance_to_enemy,avg_distance_to_enemy_std,avg_distance_to_team_centroid,avg_distance_to_team_centroid_std,relative_team_centroid_distance,relative_team_centroid_distance_std,avg_distance_moved_per_round,avg_distance_moved_per_round_std,avg_distance_to_closest_teammate,avg_distance_to_closest_teammate_std,time_near_enemy_rate,time_near_enemy_rate_std,first_contact_rate,first_contact_received_rate,first_contact_participation_rate,time_stationary_rate,time_stationary_rate_std,kast_std,impact_std,rating_std
910,ct,418,36,78.71291866028709,25.991973356266634,0.8181818181818182,0.4258373205741627,113.00478468899522,84.54066985645933,28.464114832535884,4.327751196172249,0.1674641148325359,0.03110047846889952,0.17543859649122806,0.2375,0.2799043062200957,0.145933014354067,0.05980861244019139,0.20574162679425836,0.7093023255813954,0.22248803827751196,0.24269005847953215,0.5994152046783626,1.9210526315789473,0.3827751196172249,0.6076555023923444,0.49521531100478466,0.430622009569378,0.004784688995215311,2166.6981477746526,102.96867323214653,799.4777625671501,99.29943222839472,1.0354097157624773,0.0828233377061615,8516.818289931372,1319.5330202362095,577.276363996636,58.41664949228598,0.262027898124449,0.06253423118528773,0.14354066985645933,0.06220095693779904,0.20574162679425836,0.6200404383154211,0.04489615327642996,13.414199659036248,0.6588435169798467,0.4696728955829566
910,t,428,36,71.35747663551402,26.091873172286288,0.6892523364485982,0.3317757009345794,102.03271028037383,94.04205607476635,7.990654205607477,2.441588785046729,0.2383177570093458,0.10747663551401869,0.30847457627118646,0.23076923076923078,0.36682242990654207,0.06775700934579439,0.07710280373831775,0.14485981308411214,0.46774193548387094,0.1705607476635514,0.42033898305084744,0.39322033898305087,2.4953271028037385,0.0794392523364486,1.2546728971962617,0.7757009345794392,0.3808411214953271,0.004672897196261682,2100.362734286194,106.83911768170839,499.472113302825,76.95578677377043,0.9112230305569914,0.07520684646063899,9234.6055334516,1594.2172288010647,366.6309191395042,64.28304085619358,0.3262280916649625,0.0717623556858381,0.07476635514018691,0.07710280373831775,0.15186915887850466,0.5712431836312934,0.04910997610975497,14.919184782251458,0.600003921363143,0.4817680454914286
afro,ct,326,32,81.30674846625767,25.731338615934618,0.7944785276073619,0.41411042944785276,121.02453987730061,83.73926380368098,37.285276073619634,4.932515337423313,0.2361963190184049,0.08282208588957055,0.1891891891891892,0.21465968586387435,0.27607361963190186,0.1687116564417178,0.06748466257668712,0.2361963190184049,0.7142857142857143,0.1901840490797546,0.22393822393822393,0.5598455598455598,2.085889570552147,0.5,0.598159509202454,0.5858895705521472,0.3987730061349693,0.003067484662576687,2067.7621963157203,97.95525075769747,703.5829779543384,81.83284325093972,0.9576261595492402,0.10378139186681701,8079.798471004221,1421.3135106612945,548.695960832569,52.44557433374294,0.30286337453316864,0.06785025182355837,0.1411042944785276,0.08895705521472393,0.23006134969325154,0.6417396508151364,0.05587704431091624,15.164534204291455,0.6075029599465436,0.4641019886420488
afro,t,321,30,63.4797507788162,23.68021598139648,0.5482866043613707,0.3644859813084112,90.98753894080997,94.63239875389408,-3.6448598130841123,2.573208722741433,0.2087227414330218,0.09345794392523364,0.2727272727272727,0.15196078431372548,0.24610591900311526,0.059190031152647975,0.06542056074766354,0.12461059190031153,0.475,0.12149532710280374,0.3465909090909091,0.4943181818181818,2.5981308411214954,0.08411214953271028,1.2866043613707165,0.7476635514018691,0.4797507788161994,0.0,2090.8783630232965,87.61231750882988,495.9545057065755,92.5215428684124,0.891094716937571,0.08405110962889564,8213.348595234893,1250.76641293217,372.0564385681686,74.10234343069835,0.3435489196090379,0.06740186160465853,0.08099688473520249,0.08099688473520249,0.16199376947040497,0.6010848746687836,0.04963974558646624,21.70995551838238,0.6071260518457579,0.5307290914097529
aleks,ct,53,6,69.79245283018868,21.638864737994993,0.5471698113207547,0.33962264150943394,83.73584905660377,101.62264150943396,-17.88679245283019,9.641509433962264,0.1509433962264151,0.03773584905660377,0.1724137931034483,0.2,0.22641509433962265,0.0,0.1320754716981132,0.1320754716981132,0.0,0.09433962264150944,0.6551724137931034,0.034482758620689655,3.0754716981132075,0.9056603773584906,0.6226415094339622,0.8679245283018868,0.6792452830188679,0.0,2068.1675750047007,154.72235260233322,798.7822509589346,214.30133934703778,1.0370898702884301,0.08685186133674125,8734.94184916013,1096.1314295420325,532.90083598822,85.5055384812752,0.378396838838965,0.08509407220643396,0.07547169811320754,0.11320754716981132,0.18867924528301888,0.6020860908489966,0.05730049069052992,14.621796147877589,0.7518644086533449,0.45185675247581114
aleks,t,52,6,49.94230769230769,13.097570426793384,0.2692307692307692,0.07692307692307693,58.23076923076923,129.17307692307693,-70.9423076923077,2.4423076923076925,0.17307692307692307,0.0,0.35714285714285715,0.125,0.21153846153846154,0.019230769230769232,0.17307692307692307,0.19230769230769232,0.1,0.038461538461538464,0.6428571428571429,0.0,2.076923076923077,0.4230769230769231,0.5961538461538461,0.5769230769230769,0.4423076923076923,0.038461538461538464,2134.9070437255255,195.98137082057085,463.6246426246874,72.6346694766703,0.9748139196535685,0.11142980836552295,7207.398105340854,1080.7599942326647,352.38298937998456,88.76029197441379,0.388269953892726,0.07071352080168448,0.019230769230769232,0.09615384615384616,0.11538461538461539,0.6176919420251404,0.025325457232031116,23.118856894252545,0.3341841195836666,0.3071659525966776
aleksib,ct,344,30,62.01453488372093,27.40872343908726,0.502906976744186,0.47093023255813954,72.84883720930233,75.69767441860465,-2.8488372093023258,8.883720930232558,0.3081395348837209,0.0755813953488372,0.23699421965317918,0.29120879120879123,0.27325581395348836,0.0755813953488372,0.0755813953488372,0.1511627906976744,0.5,0.09011627906976744,0.5895953757225434,0.0,2.941860465116279,0.627906976744186,0.8633720930232558,0.7558139534883721,0.6947674418604651,0.0,2075.9632020585054,173.65317609201847,756.8507827787355,187.97012865702507,0.9966663399097678,0.12346855597190547,9733.649002924352,1582.5563843575924,516.2637713589397,109.49154515473334,0.32621639153376847,0.0944981973948991,0.07848837209302326,0.05813953488372093,0.13662790697674418,0.5406359209380799,0.0561074277049422,13.218018718319332,0.6625349565569169,0.4515760863057742
aleksib,t,282,29,53.01418439716312,18.293795115291775,0.4078014184397163,0.32269503546099293,64.30141843971631,93.79078014184397,-29.48936170212766,4.418439716312057,0.22695035460992907,0.05319148936170213,0.33043478260869563,0.3193717277486911,0.35106382978723405,0.03900709219858156,0.09219858156028368,0.13120567375886524,0.2972972972972973,0.08865248226950355,0.7043478260869566,0.0,3.1382978723404253,0.35106382978723405,1.0,1.0886524822695036,0.6808510638297872,0.01773049645390071,2078.031301974012,98.48302658478238,529.7501528502106,89.68961198799134,0.9249428104830392,0.08383432125520096,9594.294000708669,1434.7275091382198,407.88095490399417,70.79604770782944,0.3511909217176204,0.06373150572447729,0.03900709219858156,0.1099290780141844,0.14893617021276595,0.5495719915974115,0.0489539940200317,17.25425136580775,0.4899685735845523,0.37273229475775577
alex,ct,141,13,79.28368794326241,25.133624574643722,0.75177304964539,0.48226950354609927,97.33333333333333,74.36170212765957,22.97163120567376,8.617021276595745,0.22695035460992907,0.028368794326241134,0.2641509433962264,0.2602739726027397,0.3333333333333333,0.10638297872340426,0.02127659574468085,0.1276595744680851,0.8333333333333334,0.18439716312056736,0.7830188679245284,0.018867924528301886,2.5673758865248226,0.6524822695035462,0.5531914893617021,0.6595744680851063,0.7021276595744681,0.0,2033.0863150559446,170.93195639470525,635.525326849711,137.79811114277763,0.9256247982297042,0.16831235750930373,10003.867451662672,1798.3073127622458,512.9411820348055,72.08340057258759,0.3283808735077044,0.068334750763306,0.1347517730496454,0.07092198581560284,0.20567375886524822,0.546609710437174,0.07138183979332931,11.456386316288933,0.6078940063306668,0.4021642122553363
alex,t,138,13,65.89855072463769,18.470061605531406,0.5869565217391305,0.2463768115942029,77.89855072463769,105.34782608695652,-27.44927536231884,4.949275362318841,0.21014492753623187,0.036231884057971016,0.38271604938271603,0.25961538461538464,0.42028985507246375,0.057971014492753624,0.07971014492753623,0.13768115942028986,0.42105263157894735,0.12318840579710146,0.7777777777777778,0.012345679012345678,2.710144927536232,0.34057971014492755,0.6811594202898551,1.0579710144927537,0.6304347826086957,0.0,2041.6511520647264,138.2805066146407,478.38754637493685,79.69383362008092,0.9263147167362342,0.061028800885840916,9167.323470778552,1302.6083092619606,337.1041372829397,67.34411219915151,0.3929869611810065,0.08919842937559662,0.07971014492753623,0.07971014492753623,0.15942028985507245,0.5589974228098149,0.050438800689923846,16.782633926341052,0.49127385521874145,0.3677303946458692
